# time, std
1326,15.0576
1327,15.0478
1328,15.0264
1329,14.9888
1330,14.9576
1331,14.9487
1332,14.9696
1333,14.9403
1334,14.9574
1335,14.9649
1336,14.9909
1337,14.9767
1338,15.0013
1339,15.0113
1340,15.0525
1341,15.073
1342,15.1447
1343,15.1931
1344,15.2125
1345,15.2385
1346,15.2544
1347,15.2423
1348,15.2505
1349,15.242
1350,15.2214
1351,15.2164
1352,15.2339
1353,15.2018
1354,15.2189
1355,15.2372
1356,15.253
1357,15.2572
1358,15.257
1359,15.2425
1360,15.2466
1361,15.2097
1362,15.2157
1363,15.2294
1364,15.2403
1365,15.2425
1366,15.274
1367,15.2895
1368,15.3041
1369,15.2914
1370,15.2852
1371,15.2556
1372,15.2248
1373,15.198
1374,15.2204
1375,15.1775
1376,15.1768
1377,15.1952
1378,15.2025
1379,15.2286
1380,15.2265
1381,15.2532
1382,15.286
1383,15.2961
1384,15.3281
1385,15.3441
1386,15.3466
1387,15.3159
1388,15.3041
1389,15.3135
1390,15.3153
1391,15.3538
1392,15.3495
1393,15.3842
1394,15.3651
1395,15.3719
1396,15.3832
1397,15.3785
1398,15.3685
1399,15.355
1400,15.3665
1401,15.3372
1402,15.3342
1403,15.3656
1404,15.3505
1405,15.3463
1406,15.3382
1407,15.3566
1408,15.4009
1409,15.3891
1410,15.3893
1411,15.4208
1412,15.4374
1413,15.4268
1414,15.3792
1415,15.3603
1416,15.329
1417,15.3002
1418,15.2877
1419,15.3098
1420,15.3139
1421,15.3263
1422,15.2961
1423,15.3011
1424,15.3077
1425,15.3166
1426,15.2894
1427,15.2862
1428,15.2739
1429,15.3131
1430,15.3087
1431,15.3317
1432,15.3084
1433,15.3224
1434,15.2974
1435,15.3032
1436,15.2925
1437,15.293
1438,15.2885
1439,15.2877
1440,15.3035
1441,15.2962
1442,15.2454
1443,15.2268
1444,15.22
1445,15.2268
1446,15.2039
1447,15.191
1448,15.1804
1449,15.1967
1450,15.2119
1451,15.1759
1452,15.2196
1453,15.2149
1454,15.2563
1455,15.2492
1456,15.2815
1457,15.3057
1458,15.3008
1459,15.289
1460,15.2683
1461,15.2862
1462,15.2891
1463,15.2617
1464,15.2805
1465,15.2819
1466,15.2871
1467,15.3002
1468,15.2987
1469,15.3429
1470,15.36
1471,15.3704
1472,15.3758
1473,15.4243
1474,15.3979
1475,15.38
1476,15.3902
1477,15.3843
1478,15.4105
1479,15.414
1480,15.3813
1481,15.37
1482,15.3226
1483,15.3112
1484,15.2923
1485,15.2402
1486,15.2422
1487,15.2521
1488,15.2772
1489,15.2861
1490,15.3045
1491,15.2961
1492,15.2638
1493,15.2482
1494,15.256
1495,15.2435
1496,15.2599
1497,15.2508
1498,15.216
1499,15.234
1500,15.2135
1501,15.202
1502,15.1754
1503,15.1813
1504,15.1712
1505,15.1284
1506,15.1801
1507,15.1673
1508,15.132
1509,15.1251
1510,15.1504
1511,15.1674
1512,15.1796
1513,15.1901
1514,15.1508
1515,15.1599
1516,15.1687
1517,15.1327
1518,15.1559
1519,15.1274
1520,15.1117
1521,15.1069
1522,15.118
1523,15.1727
1524,15.1387
1525,15.1587
1526,15.1025
1527,15.0668
1528,15.0631
1529,15.0539
1530,15.0273
1531,14.9939
1532,14.9662
1533,15.0098
1534,15.0138
1535,15.0043
1536,15.0299
1537,15.0224
1538,15.0245
1539,15.0544
1540,15.0422
1541,15.0409
1542,15.0409
1543,15.0394
1544,15.037
1545,14.9837
1546,15.0018
1547,14.9859
1548,14.9973
1549,14.9755
1550,14.9918
1551,15.0284
1552,15.0279
1553,15.0283
1554,15.0072
1555,14.9579
1556,14.9702
1557,14.9555
1558,14.9737
1559,14.9331
1560,14.9328
1561,14.9152
1562,14.8702
1563,14.8793
1564,14.8255
1565,14.8037
1566,14.7979
1567,14.7854
1568,14.8044
1569,14.7953
1570,14.8128
1571,14.7903
1572,14.7419
1573,14.7363
1574,14.7172
1575,14.6932
1576,14.6658
1577,14.6597
1578,14.6708
1579,14.6824
1580,14.7134
1581,14.7068
1582,14.7185
1583,14.7065
1584,14.7388
1585,14.6629
1586,14.6509
1587,14.6352
1588,14.6276
1589,14.6237
1590,14.6072
1591,14.5938
1592,14.6151
1593,14.6343
1594,14.6202
1595,14.638
1596,14.6171
1597,14.6129
1598,14.5893
1599,14.5908
1600,14.6063
1601,14.6137
1602,14.6141
1603,14.6169
1604,14.6124
1605,14.6385
1606,14.6262
1607,14.6223
1608,14.6146
1609,14.5715
1610,14.5929
1611,14.5952
1612,14.6156
1613,14.6416
1614,14.6715
1615,14.6806
1616,14.6741
1617,14.6806
1618,14.7021
1619,14.7021
1620,14.7026
1621,14.711
1622,14.7269
1623,14.7152
1624,14.6954
1625,14.6717
1626,14.6435
1627,14.6363
1628,14.6188
1629,14.5838
1630,14.5417
1631,14.5304
1632,14.5292
1633,14.5144
1634,14.4917
1635,14.4637
1636,14.431
1637,14.4234
1638,14.4058
1639,14.4486
1640,14.4783
1641,14.4603
1642,14.4557
1643,14.4865
1644,14.4351
1645,14.4213
1646,14.3797
1647,14.3452
1648,14.3414
1649,14.3318
1650,14.3087
1651,14.2598
1652,14.2414
1653,14.2456
1654,14.2237
1655,14.1491
1656,14.1746
1657,14.1721
1658,14.1797
1659,14.1663
1660,14.1492
1661,14.1376
1662,14.1265
1663,14.0349
1664,14.0684
1665,14.089
1666,14.0894
1667,14.1179
1668,14.1312
1669,14.1298
1670,14.1289
1671,14.1331
1672,14.1225
1673,14.0909
1674,14.0572
1675,14.0558
1676,14.0704
1677,14.0464
1678,14.0364
1679,14.0154
1680,14.0184
1681,14.0062
1682,13.9562
1683,13.946
1684,13.9268
1685,13.9295
1686,13.8994
1687,13.8911
1688,13.8848
1689,13.8907
1690,13.8896
1691,13.9125
1692,13.9329
1693,13.9517
1694,13.9533
1695,13.8807
1696,13.8675
1697,13.855
1698,13.7673
