# time, std
206,1.07661
207,1.0873
208,1.10096
209,1.09263
210,1.1033
211,1.10261
212,1.1033
213,1.1033
214,1.1033
215,1.11351
216,1.11301
217,1.12146
218,1.11301
219,1.12146
220,1.12205
221,1.1315
222,1.14111
223,1.1408
224,1.1408
225,1.1408
226,1.14111
227,1.15889
228,1.15889
229,1.1404
230,1.14962
231,1.14992
232,1.14133
233,1.14133
234,1.15027
235,1.13258
236,1.13258
237,1.13244
238,1.13258
239,1.13262
240,1.13262
241,1.15027
242,1.15027
243,1.15902
244,1.14146
245,1.14133
246,1.1415
247,1.1415
248,1.15032
249,1.15902
250,1.15907
251,1.15907
252,1.15907
253,1.15907
254,1.14146
255,1.13258
256,1.13258
257,1.15902
258,1.15902
259,1.15902
260,1.16771
261,1.16775
262,1.18488
263,1.16771
264,1.15027
265,1.16775
266,1.15889
267,1.15889
268,1.15867
269,1.16619
270,1.17568
271,1.15837
272,1.15014
273,1.15837
274,1.14962
275,1.15889
276,1.14146
277,1.1415
278,1.14146
279,1.15889
280,1.17637
281,1.17637
282,1.17637
283,1.17637
284,1.15889
285,1.17568
286,1.17568
287,1.15837
288,1.16667
289,1.17568
290,1.19236
291,1.19189
292,1.19189
293,1.18424
294,1.17568
295,1.18475
296,1.18424
297,1.2185
298,1.2185
299,1.2268
300,1.23399
301,1.2417
302,1.24215
303,1.25025
304,1.2428
305,1.23464
306,1.23464
307,1.23464
308,1.23464
309,1.25915
310,1.29096
311,1.29099
312,1.29876
313,1.28315
314,1.28299
315,1.29845
316,1.29845
317,1.30516
318,1.30558
319,1.33678
320,1.33576
321,1.33576
322,1.32859
323,1.32054
324,1.32097
325,1.32893
326,1.32939
327,1.31426
328,1.30655
329,1.31422
330,1.31426
331,1.34461
332,1.32192
333,1.3295
334,1.3295
335,1.34431
336,1.34405
337,1.34431
338,1.33651
339,1.3292
340,1.3292
341,1.32859
342,1.32859
343,1.33576
344,1.34911
345,1.34224
346,1.34224
347,1.34975
348,1.35721
349,1.35721
350,1.35031
351,1.37069
352,1.36991
353,1.39986
354,1.40773
355,1.40773
356,1.41489
357,1.4155
358,1.4155
359,1.4155
360,1.41421
361,1.41421
362,1.41421
363,1.42687
364,1.4321
365,1.44404
366,1.44987
367,1.46253
368,1.46253
369,1.46253
370,1.46125
371,1.4668
372,1.47911
373,1.47764
374,1.47501
375,1.49946
376,1.49125
377,1.48133
378,1.50323
379,1.50993
380,1.54148
381,1.54148
382,1.53794
383,1.54955
384,1.57233
385,1.5835
386,1.5835
387,1.5739
388,1.5739
389,1.58961
390,1.61483
391,1.61483
392,1.61617
393,1.61617
394,1.61617
395,1.59731
396,1.59595
397,1.59453
398,1.61342
399,1.6321
400,1.64098
401,1.61617
402,1.6249
403,1.63658
404,1.64713
405,1.62241
406,1.6321
407,1.6321
408,1.67751
409,1.66275
410,1.64443
411,1.62132
412,1.6321
413,1.61242
414,1.60416
415,1.59984
416,1.59785
417,1.62506
418,1.61608
419,1.6112
420,1.6112
421,1.63975
422,1.63719
423,1.64074
424,1.63719
425,1.63101
426,1.63101
427,1.63975
428,1.64225
429,1.63852
430,1.63234
431,1.63608
432,1.60982
433,1.6074
434,1.63358
435,1.65203
436,1.65203
437,1.66906
438,1.67027
439,1.6459
440,1.6556
441,1.65203
442,1.65203
443,1.65203
444,1.64838
445,1.64704
446,1.66421
447,1.65813
448,1.67874
449,1.68831
450,1.68831
451,1.70024
452,1.70264
453,1.71208
454,1.72621
455,1.71679
456,1.7109
457,1.73295
458,1.7424
459,1.76895
460,1.7724
461,1.77809
462,1.77809
463,1.78713
464,1.78942
465,1.79382
466,1.82516
467,1.8362
468,1.86458
469,1.84366
470,1.85145
471,1.88519
472,1.87732
473,1.91211
474,1.92514
475,1.9456
476,1.95309
477,1.97367
478,1.95078
479,1.94843
480,1.92514
481,1.92758
482,1.9356
483,1.96392
484,1.97418
485,1.96392
486,1.9765
487,1.95078
488,1.981
489,2.01557
490,2.0165
491,2.0165
492,2.00331
493,2.04324
494,2.07574
495,2.07574
496,2.07087
497,2.0696
498,2.06781
499,2.07269
500,2.07574
501,2.04818
502,2.10684
503,2.11297
504,2.12866
505,2.10041
506,2.06312
507,2.05274
508,2.04917
509,2.04917
510,2.07739
511,2.19906
512,2.20752
513,2.20365
514,2.17448
515,2.18452
516,2.14862
517,2.14514
518,2.13983
519,2.13624
520,2.13674
521,2.12772
522,2.14191
523,2.20339
524,2.20365
525,2.18985
526,2.17597
527,2.18468
528,2.17132
529,2.18082
530,2.19356
531,2.18468
532,2.162
533,2.16688
534,2.13759
535,2.12337
536,2.14266
537,2.14737
538,2.16688
539,2.17618
540,2.19954
541,2.19961
542,2.18579
543,2.21327
544,2.20422
545,2.23586
546,2.24022
547,2.26265
548,2.28044
549,2.28908
550,2.24488
551,2.24956
552,2.24506
553,2.25834
554,2.25834
555,2.25798
556,2.26221
557,2.28467
558,2.31892
559,2.31855
560,2.31456
561,2.32761
562,2.33117
563,2.34368
564,2.33021
565,2.33071
566,2.37791
567,2.39435
568,2.41784
569,2.41845
570,2.41366
571,2.46468
572,2.48259
573,2.4929
574,2.48379
575,2.48379
576,2.47972
577,2.48275
578,2.49087
579,2.4746
580,2.51611
581,2.52012
582,2.54487
583,2.5808
584,2.58348
585,2.6209
586,2.6209
587,2.64774
588,2.64634
589,2.64109
590,2.64109
591,2.64193
592,2.66977
593,2.6442
594,2.64262
595,2.66166
596,2.65406
597,2.65183
598,2.65459
599,2.6124
600,2.62436
601,2.64558
602,2.63379
603,2.6034
604,2.60536
605,2.61887
606,2.62273
607,2.60505
608,2.59547
