time,detectable crops lower
1666.0,76.07522639252711
1667.0,76.07300087429579
1668.0,76.0880683234344
1669.0,76.10515761637662
1670.0,76.1205242985329
1671.0,76.12620528154254
1672.0,76.13966991349099
1673.0,76.1473307888047
1674.0,76.14919579910263
1675.0,76.15883734028851
1676.0,76.17820147337504
1677.0,76.18405564172102
1678.0,76.21508971950045
1679.0,76.24044662130783
1680.0,76.26783119685867
1681.0,76.26407137365149
1682.0,76.30323058722702
1683.0,76.30323058722702
1684.0,76.30323058722702
1685.0,76.32130113523814
1686.0,76.34899815211081
1687.0,76.35315630701689
1688.0,76.35315630701689
1689.0,76.3985158401104
1690.0,76.43687595309268
1691.0,76.45519756478359
1692.0,76.47455541279474
1693.0,76.49700476375877
1694.0,76.52286629782293
1695.0,76.53436106979902
1696.0,76.60256424416322
1697.0,76.64045011767182
1698.0,76.68531525898223
1699.0,76.6753328581919
1700.0,76.6753328581919
1701.0,76.68496362767439
1702.0,76.68800231570874
1703.0,76.70838516515391
1704.0,76.72687110368142
1705.0,76.74539041245606
1706.0,76.83458212850603
1707.0,76.82324373998534
1708.0,76.83603633565137
1709.0,76.87741812292128
1710.0,76.91392591209164
1711.0,76.94588685972013
1712.0,76.96238890357867
1713.0,76.9911014827743
1714.0,76.9911014827743
1715.0,76.9911014827743
1716.0,77.02050586146846
1717.0,77.05090651284264
1718.0,77.07004882835783
1719.0,77.07004882835783
1720.0,77.11396435578442
1721.0,77.11726635476721
1722.0,77.17102750056335
1723.0,77.17102750056335
1724.0,77.23496312697733
1725.0,77.23496312697733
1726.0,77.30697329003681
1727.0,77.33438181105001
1728.0,77.33438181105001
1729.0,77.35016699684557
1730.0,77.35024510392901
1731.0,77.35833686555931
1732.0,77.40413082815472
1733.0,77.42616810621666
1734.0,77.45839241022989
1735.0,77.48847763434156
1736.0,77.4947178684591
1737.0,77.51472714596355
1738.0,77.5257762588225
1739.0,77.56792365267896
1740.0,77.56792365267896
1741.0,77.59052168032976
1742.0,77.61861678984884
1743.0,77.64134405202331
1744.0,77.67008910969707
1745.0,77.67008910969707
1746.0,77.67008910969707
1747.0,77.67008910969707
1748.0,77.68110684042448
1749.0,77.75232125380668
1750.0,77.77144443091441
1751.0,77.76877990958538
1752.0,77.78734662429449
1753.0,77.8046847169219
1754.0,77.8312850250288
1755.0,77.84199242726757
1756.0,77.846744083764
1757.0,77.846744083764
1758.0,77.846744083764
1759.0,77.846744083764
1760.0,77.88302880215564
1761.0,77.87990059740366
1762.0,77.88277854368106
1763.0,77.8807115124753
1764.0,77.8807115124753
1765.0,77.89950497475743
1766.0,77.91052270939105
1767.0,77.92259909008555
1768.0,77.92259909008555
1769.0,77.93950692732946
1770.0,77.9584192192557
1771.0,77.9584192192557
1772.0,77.96398977586556
1773.0,77.9685198226397
1774.0,77.99535645300479
1775.0,78.00922554899749
1776.0,78.00922554899749
1777.0,78.03221069618641
1778.0,78.03221069618641
1779.0,78.07241674957382
1780.0,78.10882191959142
1781.0,78.11960475851936
1782.0,78.11669398914447
1783.0,78.12808107109134
1784.0,78.12808107109134
1785.0,78.153285087949
1786.0,78.17024655431844
1787.0,78.16595633378311
1788.0,78.19260380941292
1789.0,78.20808107109136
1790.0,78.20808107109136
1791.0,78.22555421745389
1792.0,78.26629582222658
1793.0,78.26629582222658
1794.0,78.28981188469182
1795.0,78.29159115926757
1796.0,78.29340350925791
1797.0,78.29340350925791
1798.0,78.29340350925791
1799.0,78.31103765580332
