time,healthy crops mean
587.0,85.84
588.0,85.73
589.0,85.66
590.0,85.61
591.0,85.53
592.0,85.48
593.0,85.39
594.0,85.33
595.0,85.26
596.0,85.22
597.0,85.18
598.0,85.06
599.0,84.97
600.0,84.9
601.0,84.8
602.0,84.78
603.0,84.75
604.0,84.69
605.0,84.6
606.0,84.52
607.0,84.47
608.0,84.41
609.0,84.31
610.0,84.25
611.0,84.17
612.0,84.09
613.0,84.0
614.0,83.93
615.0,83.88
616.0,83.8
617.0,83.75
618.0,83.67
619.0,83.65
620.0,83.59
621.0,83.53
622.0,83.45
623.0,83.36
624.0,83.32
625.0,83.24
626.0,83.18
627.0,83.15
628.0,83.06
629.0,83.0
630.0,82.95
631.0,82.86
632.0,82.81
633.0,82.75
634.0,82.65
635.0,82.58
636.0,82.45
637.0,82.39
638.0,82.33
639.0,82.2
640.0,82.15
641.0,82.05
642.0,82.0
643.0,81.92
644.0,81.87
645.0,81.81
646.0,81.8
647.0,81.74
648.0,81.69
649.0,81.61
650.0,81.48
651.0,81.4
652.0,81.38
653.0,81.28
654.0,81.22
655.0,81.15
656.0,81.08
657.0,80.96
658.0,80.85
659.0,80.74
660.0,80.67
661.0,80.62
662.0,80.52
663.0,80.44
664.0,80.35
665.0,80.3
666.0,80.21
667.0,80.14
668.0,80.08
669.0,80.04
670.0,79.92
671.0,79.87
672.0,79.79
673.0,79.71
674.0,79.63
675.0,79.58
676.0,79.49
677.0,79.46
678.0,79.38
679.0,79.31
680.0,79.21
681.0,79.08
682.0,79.02
683.0,78.97
684.0,78.92
685.0,78.87
686.0,78.75
687.0,78.7
688.0,78.64
689.0,78.6
690.0,78.5
691.0,78.37
692.0,78.33
693.0,78.19
694.0,78.11
695.0,78.05
696.0,77.99
697.0,77.92
698.0,77.86
699.0,77.77
700.0,77.69
701.0,77.6
702.0,77.57
703.0,77.5
704.0,77.45
705.0,77.36
706.0,77.27
707.0,77.14
708.0,77.05
709.0,76.96
710.0,76.9
711.0,76.8
712.0,76.73
713.0,76.61
714.0,76.56
715.0,76.49
716.0,76.44
717.0,76.34
718.0,76.25
719.0,76.16
720.0,76.11
721.0,76.07
722.0,75.99
723.0,75.94
724.0,75.83
725.0,75.78
726.0,75.72
727.0,75.55
728.0,75.46
729.0,75.39
730.0,75.33
731.0,75.3
732.0,75.25
733.0,75.16
734.0,75.08
735.0,75.0
736.0,74.91
737.0,74.82
738.0,74.74
739.0,74.65
740.0,74.56
741.0,74.44
742.0,74.34
743.0,74.2
744.0,74.11
745.0,73.96
746.0,73.9
747.0,73.74
748.0,73.67
749.0,73.6
750.0,73.51
751.0,73.43
752.0,73.3
753.0,73.15
754.0,73.01
755.0,72.97
756.0,72.85
757.0,72.73
758.0,72.6
759.0,72.54
760.0,72.45
761.0,72.31
762.0,72.18
763.0,72.11
764.0,72.0
765.0,71.89
766.0,71.77
767.0,71.71
768.0,71.6
769.0,71.48
770.0,71.41
771.0,71.27
772.0,71.15
773.0,71.09
774.0,70.98
775.0,70.85
776.0,70.71
777.0,70.62
778.0,70.55
779.0,70.41
780.0,70.33
781.0,70.26
782.0,70.13
783.0,70.06
784.0,69.93
785.0,69.85
786.0,69.74
787.0,69.6
788.0,69.51
789.0,69.46
790.0,69.36
791.0,69.23
792.0,69.18
793.0,69.09
794.0,69.04
795.0,68.96
796.0,68.83
797.0,68.69
798.0,68.59
799.0,68.43
800.0,68.36
801.0,68.23
802.0,68.13
803.0,68.05
804.0,67.92
805.0,67.83
806.0,67.74
807.0,67.64
808.0,67.58
809.0,67.49
810.0,67.39
811.0,67.27
812.0,67.18
813.0,67.06
814.0,66.97
815.0,66.85
816.0,66.75
817.0,66.63
818.0,66.5
819.0,66.43
820.0,66.34
821.0,66.28
822.0,66.15
823.0,66.0
824.0,65.89
825.0,65.85
826.0,65.72
827.0,65.62
828.0,65.5
829.0,65.33
830.0,65.23
831.0,65.16
832.0,65.06
833.0,65.0
834.0,64.85
835.0,64.71
836.0,64.57
837.0,64.49
838.0,64.35
839.0,64.28
840.0,64.22
841.0,64.11
842.0,63.99
843.0,63.89
844.0,63.77
845.0,63.64
846.0,63.49
847.0,63.39
848.0,63.25
849.0,63.15
850.0,63.03
851.0,62.94
852.0,62.79
853.0,62.71
854.0,62.58
855.0,62.45
856.0,62.33
857.0,62.2
858.0,62.12
859.0,61.99
860.0,61.89
861.0,61.76
862.0,61.65
863.0,61.6
864.0,61.49
865.0,61.33
866.0,61.26
867.0,61.11
868.0,61.04
869.0,60.95
870.0,60.86
871.0,60.69
872.0,60.56
873.0,60.47
874.0,60.36
875.0,60.24
876.0,60.12
877.0,60.02
878.0,59.89
879.0,59.74
880.0,59.6
881.0,59.56
882.0,59.4
883.0,59.21
884.0,59.11
885.0,58.95
886.0,58.89
887.0,58.79
888.0,58.62
889.0,58.48
890.0,58.41
891.0,58.23
892.0,58.02
893.0,57.92
894.0,57.86
895.0,57.73
896.0,57.56
897.0,57.45
898.0,57.33
899.0,57.25
900.0,57.12
901.0,57.02
902.0,56.94
903.0,56.79
904.0,56.7
905.0,56.58
906.0,56.47
907.0,56.4
908.0,56.31
909.0,56.25
910.0,56.07
911.0,55.94
912.0,55.81
913.0,55.63
914.0,55.5
915.0,55.34
916.0,55.21
917.0,55.09
918.0,55.04
919.0,54.86
920.0,54.78
921.0,54.58
922.0,54.44
923.0,54.36
924.0,54.26
925.0,54.12
926.0,53.96
927.0,53.86
928.0,53.75
929.0,53.68
930.0,53.56
931.0,53.4
932.0,53.28
933.0,53.13
934.0,53.03
935.0,52.94
936.0,52.83
937.0,52.69
938.0,52.65
939.0,52.58
940.0,52.45
941.0,52.32
942.0,52.18
943.0,52.03
944.0,51.92
945.0,51.73
946.0,51.6
947.0,51.5
948.0,51.37
949.0,51.24
950.0,51.06
951.0,50.92
952.0,50.78
953.0,50.66
954.0,50.51
955.0,50.41
956.0,50.34
957.0,50.2
958.0,50.08
959.0,49.95
960.0,49.85
961.0,49.63
962.0,49.5
963.0,49.38
964.0,49.28
965.0,49.18
966.0,49.08
967.0,48.99
968.0,48.86
969.0,48.66
970.0,48.51
971.0,48.38
972.0,48.24
973.0,48.08
974.0,47.99
975.0,47.86
976.0,47.74
977.0,47.68
978.0,47.55
979.0,47.46
980.0,47.3
981.0,47.11
982.0,47.04
983.0,46.92
984.0,46.78
985.0,46.68
986.0,46.54
987.0,46.43
988.0,46.28
989.0,46.2
990.0,46.11
991.0,45.98
992.0,45.87
993.0,45.72
994.0,45.59
995.0,45.45
996.0,45.29
997.0,45.18
998.0,45.05
999.0,44.86
1000.0,44.74
1001.0,44.61
1002.0,44.46
1003.0,44.36
1004.0,44.25
1005.0,44.11
1006.0,44.0
1007.0,43.92
1008.0,43.79
1009.0,43.7
1010.0,43.54
1011.0,43.48
1012.0,43.36
1013.0,43.28
1014.0,43.15
1015.0,43.02
1016.0,42.86
1017.0,42.77
1018.0,42.59
1019.0,42.43
1020.0,42.32
1021.0,42.19
1022.0,42.13
1023.0,42.03
1024.0,41.85
1025.0,41.72
1026.0,41.62
1027.0,41.48
1028.0,41.32
1029.0,41.2
1030.0,41.15
1031.0,41.0
1032.0,40.86
1033.0,40.75
1034.0,40.63
1035.0,40.52
1036.0,40.38
1037.0,40.28
1038.0,40.14
1039.0,39.93
1040.0,39.85
1041.0,39.74
1042.0,39.65
1043.0,39.52
1044.0,39.42
1045.0,39.34
1046.0,39.21
1047.0,39.11
1048.0,39.02
1049.0,38.87
1050.0,38.79
1051.0,38.68
1052.0,38.57
1053.0,38.34
1054.0,38.21
1055.0,38.08
1056.0,37.97
1057.0,37.8
1058.0,37.72
1059.0,37.64
1060.0,37.51
1061.0,37.32
1062.0,37.13
1063.0,37.01
1064.0,36.92
1065.0,36.8
1066.0,36.72
1067.0,36.59
1068.0,36.45
1069.0,36.33
1070.0,36.19
1071.0,36.04
1072.0,35.99
1073.0,35.86
1074.0,35.78
1075.0,35.69
1076.0,35.55
1077.0,35.46
1078.0,35.35
1079.0,35.22
1080.0,35.05
1081.0,34.82
1082.0,34.7
1083.0,34.58
1084.0,34.45
1085.0,34.29
1086.0,34.16
1087.0,34.08
1088.0,33.94
1089.0,33.78
1090.0,33.69
1091.0,33.54
1092.0,33.43
1093.0,33.29
1094.0,33.12
1095.0,33.0
1096.0,32.85
1097.0,32.75
1098.0,32.57
1099.0,32.51
1100.0,32.43
1101.0,32.34
1102.0,32.25
1103.0,32.08
1104.0,31.97
1105.0,31.91
1106.0,31.76
1107.0,31.67
1108.0,31.57
1109.0,31.45
1110.0,31.3
1111.0,31.21
1112.0,31.09
1113.0,30.97
1114.0,30.87
1115.0,30.74
1116.0,30.61
1117.0,30.5
1118.0,30.42
1119.0,30.32
1120.0,30.19
1121.0,30.07
1122.0,29.98
1123.0,29.92
1124.0,29.8
1125.0,29.64
1126.0,29.54
1127.0,29.42
1128.0,29.35
1129.0,29.24
1130.0,29.06
1131.0,29.02
1132.0,28.93
1133.0,28.81
1134.0,28.69
1135.0,28.61
1136.0,28.49
1137.0,28.34
