time,detectable crops upper
219.0,2.4987029248129438
220.0,2.4987029248129438
221.0,2.4987029248129438
222.0,2.4987029248129438
223.0,2.4987029248129438
224.0,2.4987029248129438
225.0,2.5186229834061007
226.0,2.5186229834061007
227.0,2.5397247358851684
228.0,2.5397247358851684
229.0,2.5397247358851684
230.0,2.5397247358851684
231.0,2.5397247358851684
232.0,2.5397247358851684
233.0,2.5397247358851684
234.0,2.5397247358851684
235.0,2.5397247358851684
236.0,2.5397247358851684
237.0,2.569590832991982
238.0,2.5888733020503287
239.0,2.589954544515363
240.0,2.589954544515363
241.0,2.589954544515363
242.0,2.6269427669584644
243.0,2.6817228585166086
244.0,2.700085466963846
245.0,2.7267602959317445
246.0,2.736381051770467
247.0,2.736381051770467
248.0,2.737454882362802
249.0,2.737454882362802
250.0,2.737454882362802
251.0,2.7383749398202615
252.0,2.7383749398202615
253.0,2.7579982578384
254.0,2.7579982578384
255.0,2.7579982578384
256.0,2.7579982578384
257.0,2.7845994976614183
258.0,2.7934296684236966
259.0,2.7934296684236966
260.0,2.793459662602927
261.0,2.793459662602927
262.0,2.819482643250859
263.0,2.819482643250859
264.0,2.819482643250859
265.0,2.819482643250859
266.0,2.853680700189033
267.0,2.8789995829857498
268.0,2.895706540422208
269.0,2.895706540422208
270.0,2.9038918869558996
271.0,2.903499041328965
272.0,2.903499041328965
273.0,2.936829144030175
274.0,2.9778029157808676
275.0,3.0099599993599795
276.0,3.0099599993599795
277.0,3.0178381305281543
278.0,3.0336347155371852
279.0,3.0336347155371852
280.0,3.033342269851709
281.0,3.056980508997653
282.0,3.072497524750049
283.0,3.087911668847637
284.0,3.0953458025377882
285.0,3.1105904139414875
286.0,3.1105904139414875
287.0,3.125735082217308
288.0,3.147928010491984
289.0,3.1775946567146054
290.0,3.1775946567146054
291.0,3.1775946567146054
292.0,3.1775946567146054
293.0,3.1775946567146054
294.0,3.1775946567146054
295.0,3.1775946567146054
296.0,3.1845232578665126
297.0,3.1991470048058916
298.0,3.1991470048058916
299.0,3.1991470048058916
300.0,3.1991470048058916
301.0,3.1991470048058916
302.0,3.221383878799796
303.0,3.3010443691392166
304.0,3.3010443691392166
305.0,3.3010443691392166
306.0,3.3010443691392166
307.0,3.3010443691392166
308.0,3.3010443691392166
309.0,3.3010443691392166
310.0,3.31502788075192
311.0,3.3564659966250536
312.0,3.3564659966250536
313.0,3.391991316904705
314.0,3.4198571355677703
315.0,3.4198571355677703
316.0,3.4465560778013793
317.0,3.473903086589814
318.0,3.5009718942436043
319.0,3.513987534572234
320.0,3.513987534572234
321.0,3.513987534572234
322.0,3.533822547630901
323.0,3.533822547630901
324.0,3.533822547630901
325.0,3.565300656221938
326.0,3.565300656221938
327.0,3.564160655882856
328.0,3.5767549896233293
329.0,3.616617756902577
330.0,3.616617756902577
331.0,3.674727698300919
332.0,3.674727698300919
333.0,3.6803310895297088
334.0,3.6803310895297088
335.0,3.6803310895297088
336.0,3.685855238726486
337.0,3.685855238726486
338.0,3.685855238726486
339.0,3.685855238726486
340.0,3.6846236984605865
341.0,3.70332963783729
342.0,3.7350901612691616
343.0,3.7350901612691616
344.0,3.7338031576133
345.0,3.7338031576133
346.0,3.7587576655572326
347.0,3.7886682553429116
348.0,3.837513955280782
349.0,3.871623364550171
350.0,3.8876734353812337
351.0,3.8876734353812337
352.0,3.8987893421361592
353.0,3.8987893421361592
354.0,3.9098407562552318
355.0,3.9098407562552318
356.0,3.9098407562552318
357.0,3.9098407562552318
358.0,3.9098407562552318
359.0,3.9098407562552318
360.0,3.984867595784774
361.0,4.007992583419341
362.0,4.007992583419341
363.0,4.024807680927193
364.0,4.024807680927193
365.0,4.059818171799547
366.0,4.103249830903344
367.0,4.103249830903344
368.0,4.103249830903344
369.0,4.1195807857063995
370.0,4.1195807857063995
371.0,4.135828153481137
372.0,4.135828153481137
373.0,4.135828153481137
374.0,4.1638417871808455
375.0,4.179882348870063
376.0,4.179882348870063
377.0,4.189970587980863
378.0,4.189970587980863
379.0,4.205872210923198
380.0,4.219882348870062
381.0,4.215828153481137
382.0,4.241190054693401
383.0,4.262660627532879
384.0,4.262660627532879
385.0,4.262660627532879
386.0,4.262660627532879
387.0,4.262660627532879
388.0,4.262660627532879
389.0,4.299356604105766
390.0,4.312321943699251
391.0,4.345989448970891
392.0,4.355139290497993
393.0,4.375925406304131
394.0,4.396586227212532
395.0,4.399767426136452
396.0,4.4086913626361195
397.0,4.411724276862369
398.0,4.440929981143916
399.0,4.469855485293498
400.0,4.469855485293498
401.0,4.469855485293498
402.0,4.469855485293498
403.0,4.501427988813699
404.0,4.529857948812914
405.0,4.552356377126941
406.0,4.577638883463117
407.0,4.577638883463117
408.0,4.577638883463117
409.0,4.577638883463117
410.0,4.577638883463117
411.0,4.602735340199439
412.0,4.602735340199439
413.0,4.6053851125177445
414.0,4.607948255714997
415.0,4.632117377602285
416.0,4.670418945386805
417.0,4.678267317824715
418.0,4.678267317824715
419.0,4.686057109949175
420.0,4.7049651807207855
421.0,4.7049651807207855
422.0,4.731416109620428
423.0,4.731416109620428
424.0,4.731416109620428
425.0,4.763146436446874
426.0,4.805510828080292
427.0,4.801976948262518
428.0,4.836591454545374
429.0,4.8384776310850235
430.0,4.8384776310850235
431.0,4.874615863191082
432.0,4.874615863191082
433.0,4.897913274218052
434.0,4.897913274218052
435.0,4.959842925478427
436.0,4.982590816843409
437.0,5.0
438.0,5.029345437578019
439.0,5.029345437578019
440.0,5.041308452343577
441.0,5.075486951396971
442.0,5.075486951396971
443.0,5.071648503255764
444.0,5.07816665938801
445.0,5.105512918679073
446.0,5.132652825391093
447.0,5.132652825391093
448.0,5.16468827043885
449.0,5.201456753233671
450.0,5.201456753233671
451.0,5.235595149322627
452.0,5.235595149322627
453.0,5.235595149322627
454.0,5.26680440300987
455.0,5.26680440300987
456.0,5.289183003098035
457.0,5.340829100632229
458.0,5.340829100632229
459.0,5.376053949202669
460.0,5.376053949202669
461.0,5.376053949202669
462.0,5.396600105434675
463.0,5.413530657321845
464.0,5.414704798278539
465.0,5.4717934888511355
466.0,5.4717934888511355
467.0,5.4717934888511355
468.0,5.5013739602448455
469.0,5.5013739602448455
