time,undetectable crops lower
132.0,1.665081703709475
133.0,1.643083016017799
134.0,1.6485456425036251
135.0,1.6799999999999997
136.0,1.6895514110461853
137.0,1.6643325748176236
138.0,1.654767114432104
139.0,1.657851024112257
140.0,1.648545642503625
141.0,1.657851024112257
142.0,1.6768417560158626
143.0,1.6453261530284458
144.0,1.6360099503103291
145.0,1.6329932680815902
146.0,1.642442662561212
147.0,1.6329932680815902
148.0,1.6183349834999672
149.0,1.597063894538401
150.0,1.5877089698934994
151.0,1.5576775545075963
152.0,1.5397674732957376
153.0,1.5080136055471145
154.0,1.5080136055471145
155.0,1.5080136055471145
156.0,1.4993184457478401
157.0,1.4993184457478401
158.0,1.4993184457478401
159.0,1.4993184457478401
160.0,1.4993184457478401
161.0,1.4726381504504302
162.0,1.4726381504504302
163.0,1.4603158419769233
164.0,1.4486092444335288
165.0,1.4112763413506335
166.0,1.4202041028867294
167.0,1.382202425338686
168.0,1.3548134501496758
169.0,1.3378024146905965
170.0,1.3378024146905965
171.0,1.3462570050057632
172.0,1.3462570050057632
173.0,1.3462570050057632
174.0,1.3462570050057632
175.0,1.3071673192692892
176.0,1.3071673192692892
177.0,1.3244857724545303
178.0,1.2773904548315245
179.0,1.3046041433043094
180.0,1.3138354552780134
181.0,1.3138354552780134
182.0,1.3231576444678317
183.0,1.304831851243948
184.0,1.2684385883956233
185.0,1.2684385883956233
186.0,1.3138354552780134
187.0,1.3138354552780134
188.0,1.3413770165938994
189.0,1.3322295321880813
190.0,1.2866567755133786
191.0,1.2522671538404
192.0,1.2608623895326319
193.0,1.2608623895326319
194.0,1.279655223651177
195.0,1.2522671538404
196.0,1.234457572011967
197.0,1.2113532094983381
198.0,1.2290499597423514
199.0,1.2290499597423514
200.0,1.2399999999999995
201.0,1.2221970842191325
202.0,1.2221970842191325
203.0,1.2221970842191325
204.0,1.212645120594699
205.0,1.2140792905691726
206.0,1.1780634690512075
207.0,1.1747433710488286
208.0,1.2278699755829525
209.0,1.2796825796649478
210.0,1.2432865654628027
211.0,1.2537075365753647
212.0,1.2432865654628027
213.0,1.214359353944898
214.0,1.1574670478333378
215.0,1.1574670478333378
216.0,1.1574670478333378
217.0,1.1647299905592674
218.0,1.1685077176758816
219.0,1.1586307790294752
220.0,1.176349423004277
221.0,1.1982768859042014
222.0,1.1982768859042014
223.0,1.195622999361163
224.0,1.195622999361163
225.0,1.1845649110247147
226.0,1.1820284170526159
227.0,1.1735757776141296
228.0,1.1845649110247145
229.0,1.206750192209135
230.0,1.2179466494002358
231.0,1.2223828837193258
232.0,1.2223828837193258
233.0,1.2223828837193258
234.0,1.226908013734376
235.0,1.226908013734376
236.0,1.245110925701198
237.0,1.2937020087566313
238.0,1.2981701930259024
239.0,1.2937020087566313
240.0,1.2937020087566313
241.0,1.3052208652938087
242.0,1.2981701930259024
243.0,1.3482857440414207
244.0,1.3440204979576005
245.0,1.3367192566703625
246.0,1.3179725038914745
247.0,1.322232007862985
248.0,1.3252272915132477
249.0,1.3367192566703625
250.0,1.3410148659249446
