time,detectable sentinels lower
601.0,1.6080785356641663
602.0,1.6306302759452436
603.0,1.6558144449085788
604.0,1.6711052103637947
605.0,1.682801421213398
606.0,1.7127314846568975
607.0,1.7158972189158401
608.0,1.7286898775805355
609.0,1.7386316884372235
610.0,1.7803496574743782
611.0,1.8157053808936716
612.0,1.825858467687711
613.0,1.824646544071614
614.0,1.7896882141275725
615.0,1.838284590441873
616.0,1.8556091936475472
617.0,1.8664373003831969
618.0,1.8804017947231593
619.0,1.9172387318820476
620.0,1.9478573970513509
621.0,1.9536004941321945
622.0,1.9714609776436411
623.0,2.0188474933189724
624.0,2.027946561698183
625.0,2.0044733411741706
626.0,2.0040701605090145
627.0,2.002973450887037
628.0,2.0108656316837745
629.0,2.0058013675834694
630.0,2.0063542086939616
631.0,1.993828651455754
632.0,2.0421989870795016
633.0,2.0644010194195754
634.0,2.0439111207959275
635.0,2.0620541607664116
636.0,2.0893840776066455
637.0,2.124242414761765
638.0,2.1285032016669376
639.0,2.139163301023734
640.0,2.1982774193315073
641.0,2.2137786144993683
642.0,2.2591793654225505
643.0,2.2840494128413145
644.0,2.257896013364718
645.0,2.235851602447873
646.0,2.256020585927544
647.0,2.3203072395637374
648.0,2.368246199398053
649.0,2.3815212126637864
650.0,2.4405408206729096
651.0,2.419902153110275
652.0,2.4399999999999995
653.0,2.4666396542764293
654.0,2.434673184120051
655.0,2.4574595615449457
656.0,2.4685120676527603
657.0,2.5157506235530196
658.0,2.497661856792476
659.0,2.529473946764549
660.0,2.6280920284259235
661.0,2.6559365081269455
662.0,2.645636489652663
663.0,2.6210384040356853
664.0,2.6553094393158663
665.0,2.6839113267447363
666.0,2.747358200331103
667.0,2.8067029323999417
668.0,2.838839431147635
669.0,2.8357572878508464
670.0,2.8470243263400974
671.0,2.9392180594034567
672.0,2.9673651211084717
673.0,3.0149645309500226
674.0,3.0532714736560145
675.0,3.077563906116062
676.0,3.0885734617305936
677.0,3.124856140493682
678.0,3.2381885544082945
679.0,3.2559971024994745
680.0,3.301583823913946
681.0,3.3446447959481223
682.0,3.3899323717120637
683.0,3.3958588117448425
684.0,3.427629715100469
685.0,3.449614026130252
686.0,3.518156179063638
687.0,3.5701987649959186
688.0,3.639991173878107
689.0,3.7163034183413686
690.0,3.7663877545354367
691.0,3.832296818695365
692.0,3.886099181185152
693.0,3.8908731869007536
694.0,3.9567132700083913
695.0,4.0529952018683755
696.0,4.04452918153882
697.0,4.098725475808891
698.0,4.11031011453573
699.0,4.175981994238329
700.0,4.199654596432335
701.0,4.172027763872334
702.0,4.164955227072246
703.0,4.203922372398223
704.0,4.230037344456207
705.0,4.228666464835509
706.0,4.2353583214946315
707.0,4.292215598234051
708.0,4.328601221720254
709.0,4.385005087506144
710.0,4.389841464436321
711.0,4.448119558735149
712.0,4.448293095783775
713.0,4.454900960776657
714.0,4.474897369889716
715.0,4.507056122167995
716.0,4.5177329013419385
717.0,4.569162726231246
718.0,4.593166404194289
719.0,4.6229091376997715
720.0,4.665794096214714
721.0,4.81000392464739
722.0,4.829628330913062
723.0,4.919782610530209
724.0,4.965435929710086
725.0,5.027614650500087
726.0,5.058593584930579
727.0,5.0643348264326455
728.0,5.106540106653659
729.0,5.12695204332975
730.0,5.176218005493201
731.0,5.169425868046675
732.0,5.163510299629481
733.0,5.214306360178794
734.0,5.21860595114439
735.0,5.2653995923156796
736.0,5.327187562165038
737.0,5.358678183241208
738.0,5.407988956876659
739.0,5.41291636349094
740.0,5.427916518907974
741.0,5.424519486618637
742.0,5.466223965510494
743.0,5.573330076535154
744.0,5.608397903894593
745.0,5.610890290429397
746.0,5.6578956614020655
747.0,5.738505160905076
748.0,5.789292984041754
749.0,5.778236253088666
750.0,5.81287126323128
751.0,5.82687311570427
752.0,5.893824469941922
753.0,5.943376382372353
754.0,6.00759240413184
755.0,6.042546198130301
756.0,6.135777155039342
757.0,6.182313254757069
758.0,6.222930853816113
759.0,6.276213145943835
760.0,6.332626887596753
761.0,6.3245123920798605
762.0,6.376470208084855
763.0,6.503952426861785
764.0,6.497781737907397
765.0,6.497513796915955
766.0,6.510382537113564
767.0,6.517239770597644
768.0,6.5950211363018845
769.0,6.683730199810494
770.0,6.731941580408295
771.0,6.80201355887313
772.0,6.915910568282461
773.0,6.96045516088258
774.0,7.03678749398243
775.0,7.116071228660582
776.0,7.160795776964886
777.0,7.282463777158867
778.0,7.367381021822739
779.0,7.520099535829706
780.0,7.551578507335723
781.0,7.628761609432338
782.0,7.670226975378876
783.0,7.758318095558559
784.0,7.800071942615292
785.0,7.818759841318327
786.0,7.852264624058549
787.0,7.9243699316093
788.0,8.031441129431805
789.0,8.04528440479813
790.0,8.077521125074723
791.0,8.128228396738848
792.0,8.234506745052952
793.0,8.263167307480382
794.0,8.318595209879799
795.0,8.386835560231523
796.0,8.505643820541811
797.0,8.52300533560739
798.0,8.636203866412831
799.0,8.748966531860189
800.0,8.794795807054392
801.0,8.846408324956936
802.0,8.890641841326245
803.0,8.948494459683655
804.0,9.073251729114567
805.0,9.084991493970687
806.0,9.130571703548977
807.0,9.211249277010893
808.0,9.27690066438749
809.0,9.347622872721907
810.0,9.432780052865258
811.0,9.501337867742524
812.0,9.550381101988982
813.0,9.597437813901326
814.0,9.618315237528023
815.0,9.742019411634217
816.0,9.749210702970885
817.0,9.801197647735332
818.0,9.870887120280237
819.0,9.93781897368521
820.0,10.033340592623489
821.0,10.072616997299672
822.0,10.176663057743166
823.0,10.26154803991841
824.0,10.33516539333593
825.0,10.462694331159426
826.0,10.509240040420732
827.0,10.570260235898328
828.0,10.601754475970345
829.0,10.642329405316083
830.0,10.715178105022432
831.0,10.805073209781373
832.0,10.897419174208963
833.0,10.943225920558667
834.0,10.986604594722849
835.0,11.129047233959792
836.0,11.216728206217983
837.0,11.267511605488775
838.0,11.311257171621456
839.0,11.393249448323338
840.0,11.491887161219566
841.0,11.628209512084194
842.0,11.664473952895086
843.0,11.814932700610065
844.0,11.90243382053875
845.0,12.005496345997166
846.0,12.081072463508647
847.0,12.18338234382724
848.0,12.346169608541281
849.0,12.40615103064292
850.0,12.466999134706654
851.0,12.475884786845924
852.0,12.513096950030373
853.0,12.590178867143464
854.0,12.642351800301228
855.0,12.737361682959872
856.0,12.790287044351953
857.0,12.801001115403484
858.0,12.90326104067464
859.0,12.919170750342957
860.0,12.988381151909973
861.0,13.056251050420194
862.0,13.081997958964553
863.0,13.142581685331354
864.0,13.159040536262552
865.0,13.242068344297657
866.0,13.328055951577777
867.0,13.375300639511124
868.0,13.401058230683915
869.0,13.449094530619714
870.0,13.50289869548752
871.0,13.526757103896408
872.0,13.64314792194989
873.0,13.70405703510309
874.0,13.722975738796801
875.0,13.789701145772195
876.0,13.911660693209896
877.0,14.002545528245566
878.0,14.061437488789398
879.0,14.105214729071673
880.0,14.15794672012213
881.0,14.249828381901974
882.0,14.302382558194875
883.0,14.409603787243984
884.0,14.46956266473817
885.0,14.52109865117615
886.0,14.588432784305937
887.0,14.669313240538226
888.0,14.73272539037836
889.0,14.807786055201205
890.0,14.852367498864346
891.0,14.904408550007886
892.0,14.981861254131466
893.0,15.074701260106814
894.0,15.172121096863759
895.0,15.252943017093568
896.0,15.357709404682382
897.0,15.433840948347928
898.0,15.499750001562482
899.0,15.554312965041678
900.0,15.58481613148361
901.0,15.670809682500888
902.0,15.71851195967917
903.0,15.813715688275725
904.0,15.941475301398864
905.0,15.987589164493766
906.0,16.05782448773689
907.0,16.18458446620705
908.0,16.213272231406435
909.0,16.289757947642773
910.0,16.38590528699207
911.0,16.379465507426684
912.0,16.474560251472994
913.0,16.576592837331024
914.0,16.654408682040515
915.0,16.68831654224543
916.0,16.72819652383588
917.0,16.795564021052975
918.0,16.888430820851056
919.0,16.9211790307903
920.0,17.002381087370882
921.0,17.054929251010833
922.0,17.108585401832816
923.0,17.253408934843886
924.0,17.30753937362535
925.0,17.37518573544974
926.0,17.445109415944444
927.0,17.521924437434034
928.0,17.62574003183669
929.0,17.726283950189387
930.0,17.770106082302057
931.0,17.78737340138545
932.0,17.85578422491248
933.0,17.954855623587665
934.0,18.00528323009155
935.0,18.176891296494567
936.0,18.254290481275792
937.0,18.340065177007634
938.0,18.471083438346664
939.0,18.52583528708915
940.0,18.56614902339094
941.0,18.679500005786906
942.0,18.750954713626403
943.0,18.859995385325828
944.0,18.92513400087315
945.0,19.040895746494304
946.0,19.104452540695057
947.0,19.145647734268458
948.0,19.268786596717266
949.0,19.32176477689096
950.0,19.401454676609305
951.0,19.477505820557273
952.0,19.51621911700127
953.0,19.641811241048444
954.0,19.736748539047575
