time,undetectable sentinels lower
136.0,-0.19999999999999976
137.0,-0.2049615361854386
138.0,-0.2049615361854386
139.0,-0.2049615361854386
140.0,-0.2049615361854386
141.0,-0.23482872693909385
142.0,-0.2592676385936229
143.0,-0.2724932431938871
144.0,-0.2724932431938871
145.0,-0.26904157598234263
146.0,-0.26904157598234263
147.0,-0.26904157598234263
148.0,-0.2652893855326459
149.0,-0.2724932431938871
150.0,-0.272493243193887
151.0,-0.272493243193887
152.0,-0.2690415759823425
153.0,-0.2690415759823425
154.0,-0.2858830507286977
155.0,-0.2858830507286977
156.0,-0.2815974481593786
157.0,-0.2815974481593786
158.0,-0.2815974481593786
159.0,-0.2815974481593786
160.0,-0.2815974481593786
161.0,-0.2815974481593786
162.0,-0.2815974481593786
163.0,-0.2858830507286976
164.0,-0.2898979485566352
165.0,-0.2858830507286976
166.0,-0.2858830507286976
167.0,-0.2858830507286976
168.0,-0.2815974481593786
169.0,-0.2815974481593786
170.0,-0.3506031346797919
171.0,-0.34514955353311205
172.0,-0.34514955353311205
173.0,-0.3562177826491071
174.0,-0.327802782663136
175.0,-0.32227615711297986
176.0,-0.30990908339470125
177.0,-0.29892754449928427
178.0,-0.2931163290120439
179.0,-0.2931163290120439
180.0,-0.29892754449928427
181.0,-0.26720402163943
182.0,-0.27224993899462835
183.0,-0.29141321022345734
184.0,-0.2964028875300746
185.0,-0.28619026473818043
186.0,-0.3045268253204708
187.0,-0.3045268253204708
188.0,-0.3045268253204708
189.0,-0.3045268253204708
190.0,-0.28619026473818043
191.0,-0.32227615711297986
192.0,-0.31654141221598253
193.0,-0.2807402333838306
194.0,-0.2807402333838306
195.0,-0.27224993899462835
196.0,-0.27224993899462835
197.0,-0.3045268253204708
198.0,-0.2989275444992844
199.0,-0.2989275444992844
200.0,-0.2523413450036473
201.0,-0.24749371855330998
202.0,-0.23705029336348915
203.0,-0.22207883172775778
204.0,-0.22207883172775778
205.0,-0.19593991028887003
206.0,-0.21152822909778018
207.0,-0.21152822909778013
208.0,-0.20588305072869734
209.0,-0.20588305072869734
210.0,-0.1999999999999998
211.0,-0.2133545643251809
212.0,-0.2133545643251809
213.0,-0.2133545643251809
214.0,-0.21872579673275744
215.0,-0.20687759489277918
216.0,-0.22552726787943383
217.0,-0.22552726787943383
218.0,-0.22552726787943383
219.0,-0.22552726787943383
220.0,-0.2435601121442143
221.0,-0.25026779311325736
222.0,-0.26784080852774655
223.0,-0.26784080852774655
224.0,-0.3014736298484179
225.0,-0.3014736298484179
226.0,-0.3014736298484179
227.0,-0.3189221833163041
228.0,-0.3189221833163041
229.0,-0.3189221833163041
230.0,-0.3189221833163041
231.0,-0.32621977685614084
232.0,-0.3082762530298226
233.0,-0.3148966853934643
234.0,-0.3487108622149782
235.0,-0.3487108622149782
236.0,-0.34151341634164994
237.0,-0.3341535966928126
238.0,-0.3341535966928126
239.0,-0.31055531081737814
240.0,-0.31145989899609366
241.0,-0.29592452382338624
242.0,-0.28835726674018514
243.0,-0.2873329733620253
244.0,-0.318922183316304
245.0,-0.32621977685614073
246.0,-0.318922183316304
247.0,-0.31145989899609366
248.0,-0.30963758598266655
249.0,-0.30963758598266655
250.0,-0.30963758598266655
251.0,-0.30383484153110096
252.0,-0.2724949798994365
253.0,-0.2724949798994365
254.0,-0.28835726674018536
255.0,-0.29592452382338613
256.0,-0.29592452382338624
257.0,-0.29449165982948894
258.0,-0.29449165982948894
259.0,-0.29449165982948894
260.0,-0.28835726674018514
261.0,-0.25645185435575923
262.0,-0.24079315151640635
263.0,-0.22395583442381878
264.0,-0.22199693250812108
265.0,-0.23953829756219963
266.0,-0.2308456038109195
267.0,-0.23953829756219963
268.0,-0.2480740698407854
