time,healthy sentinels upper
641.0,96.81618902915953
642.0,96.78118959417525
643.0,96.76238562914615
644.0,96.70379129948616
645.0,96.6600428448228
646.0,96.59680807709056
647.0,96.58768653004485
648.0,96.56857315682129
649.0,96.52599847535141
650.0,96.51621266398345
651.0,96.44356191587407
652.0,96.39181842363443
653.0,96.37163313838175
654.0,96.3070812439993
655.0,96.29190599531486
656.0,96.22306252570101
657.0,96.1106394220767
658.0,96.0037617924471
659.0,95.89478830876443
660.0,95.84020643919831
661.0,95.76806502705774
662.0,95.75142555331955
663.0,95.68654489215984
664.0,95.63543144895355
665.0,95.59795751945782
666.0,95.60698831567329
667.0,95.56739682096283
668.0,95.51475312128379
669.0,95.49545663554733
670.0,95.43860104088384
671.0,95.40950078876949
672.0,95.36560734119828
673.0,95.31942946412397
674.0,95.2634068301707
675.0,95.18871838949032
676.0,95.15993700771779
677.0,95.10067608266164
678.0,95.10481855500501
679.0,95.11679116718939
680.0,95.0861044678922
681.0,95.03842095613857
682.0,94.92328651194273
683.0,94.82668813877802
684.0,94.79678394693026
685.0,94.73823877864086
686.0,94.72402991449577
687.0,94.69866913417476
688.0,94.68155647598263
689.0,94.67126984031485
690.0,94.63680716248258
691.0,94.58931696352684
692.0,94.52130559605354
693.0,94.47295216005847
694.0,94.43679121828035
695.0,94.42063478704426
696.0,94.43063425807554
697.0,94.45909622274749
698.0,94.38156882473567
699.0,94.39915572369713
700.0,94.38901226571566
701.0,94.3618180625775
702.0,94.3168917388026
703.0,94.28200558659105
704.0,94.26290384719856
705.0,94.25062276199886
706.0,94.17445280952758
707.0,94.13209558895414
708.0,94.15108323311948
709.0,94.09879487482992
710.0,94.09538117261505
711.0,94.0526080027347
712.0,94.01424675836388
713.0,93.98845585064548
714.0,93.91054978207951
715.0,93.83309227497703
716.0,93.75711602486881
717.0,93.71400150850238
718.0,93.65059725744995
719.0,93.60378697747961
720.0,93.51937498673092
721.0,93.4316133626719
722.0,93.41181467798317
723.0,93.37654431091508
724.0,93.35109948860541
725.0,93.31976494105935
726.0,93.24356048604214
727.0,93.20122172999255
728.0,93.12606522302556
729.0,93.04544692538168
730.0,92.9899570105209
731.0,92.93208511739212
732.0,92.86344288082361
733.0,92.77492344399536
734.0,92.7160938644202
735.0,92.61523828834649
736.0,92.57445069207512
737.0,92.48164811999024
738.0,92.44754041424424
739.0,92.40208022270491
740.0,92.3908999738725
741.0,92.3333340491017
742.0,92.30594741569925
743.0,92.22621253716619
744.0,92.17818988201131
745.0,92.05422896789739
746.0,91.93563517406693
747.0,91.8447657481652
748.0,91.81030273767846
749.0,91.75706004306836
750.0,91.64517331338912
751.0,91.62576187896441
752.0,91.59595425979857
753.0,91.50401327156078
754.0,91.392434189835
755.0,91.33885977258198
756.0,91.29373476795975
757.0,91.27846861918391
758.0,91.20516604795884
759.0,91.16357103595142
760.0,91.11809308288372
761.0,91.0490911619955
762.0,91.00477022739555
763.0,90.967510475389
764.0,90.87627169309724
765.0,90.85969549047728
766.0,90.82184950210254
767.0,90.78019963581808
768.0,90.67527777544174
769.0,90.64845194941277
770.0,90.58231771909024
771.0,90.52031831527555
772.0,90.4498411263417
773.0,90.35950328405966
774.0,90.34704965227118
775.0,90.2748423149285
776.0,90.19306642848336
777.0,90.07459181675189
778.0,90.02704559880992
779.0,90.00389170148475
780.0,89.90559111194219
781.0,89.89074429206157
782.0,89.77097721835018
783.0,89.66793882998773
784.0,89.66519507520718
785.0,89.58051663987035
786.0,89.45333397031658
787.0,89.38971126119583
788.0,89.31610940684453
789.0,89.26477947334764
790.0,89.17436128145937
791.0,89.12424948698467
792.0,89.05049574374613
793.0,88.95092527288824
794.0,88.92563608327411
795.0,88.80711081320743
796.0,88.6787927721112
797.0,88.6193550079637
798.0,88.4954163119699
799.0,88.4721857962673
800.0,88.42686951029589
801.0,88.36621424481581
802.0,88.29725839299641
803.0,88.1699861342154
804.0,88.10399844737711
805.0,87.97494934769455
806.0,87.90236388490699
807.0,87.82415694899598
808.0,87.76146483842588
809.0,87.704481825805
810.0,87.70154135008886
811.0,87.70504017974353
812.0,87.58658923153669
813.0,87.54985660117524
814.0,87.48729293325553
815.0,87.41144667136675
816.0,87.2642143075988
817.0,87.18805650196268
818.0,87.05798050408282
819.0,87.01128689800896
820.0,86.98561178458732
821.0,86.89491909583992
822.0,86.8199680170303
823.0,86.73989877436743
824.0,86.67718877969934
825.0,86.65028276744299
826.0,86.54954401138836
827.0,86.49815780542946
828.0,86.42359923924008
829.0,86.30118106575023
830.0,86.2674435757377
831.0,86.19788691252252
832.0,86.10680796797634
833.0,86.05428039807693
834.0,85.91374246202342
835.0,85.91193714334739
836.0,85.8347764952072
837.0,85.74075089166655
838.0,85.66393648484447
839.0,85.56745086345111
840.0,85.46436483354562
841.0,85.43247034113429
842.0,85.3702430895831
843.0,85.28504016828327
844.0,85.23798767067068
845.0,85.16917427129502
846.0,85.03084980410534
847.0,84.97615114106782
848.0,84.9445769379185
849.0,84.85942181160628
850.0,84.78099096641606
851.0,84.69327413545909
852.0,84.67944498741231
853.0,84.59984661000672
854.0,84.50546501068649
855.0,84.39359504868469
856.0,84.3219093591129
857.0,84.23988697757312
858.0,84.1640456996644
859.0,84.054815788643
860.0,83.99747785040961
861.0,83.93398547333014
862.0,83.87243905766046
863.0,83.80612937362126
864.0,83.7395395004348
865.0,83.66381239058103
866.0,83.57402223932573
867.0,83.46655965729519
868.0,83.41652855646826
869.0,83.36593200986232
870.0,83.32318309880043
871.0,83.24995931063533
872.0,83.17376220367471
873.0,83.11880110757986
874.0,83.06011865177793
875.0,83.00663402819123
876.0,82.86888964884281
877.0,82.78165713195818
878.0,82.74849474797298
879.0,82.70542383448159
880.0,82.62529844386464
881.0,82.55723406278437
882.0,82.50905689347483
883.0,82.35941728525478
884.0,82.2501756433056
885.0,82.18507660804985
886.0,82.08917405984612
887.0,81.95094112831102
888.0,81.88162005063865
889.0,81.82994188741569
890.0,81.74829686569083
891.0,81.70018955071822
892.0,81.63252638711049
893.0,81.4927239505567
894.0,81.45752059568096
895.0,81.42521077315816
896.0,81.39635500718927
897.0,81.35206531872046
898.0,81.20331173450171
899.0,81.08278191550814
900.0,81.03695512143835
901.0,80.94836742565349
902.0,80.88074964647956
903.0,80.79166584825361
904.0,80.69520110943927
905.0,80.6644429923036
906.0,80.57960721999378
907.0,80.44559694799669
908.0,80.3356997187659
909.0,80.24982688781547
910.0,80.12077681626755
