time,recovered lower
0.645,18.018140422103933
0.65,18.322929347188172
0.655,18.607185643543726
0.66,18.83616211814936
0.665,19.160854778915276
0.67,19.513022487680836
0.675,19.79676902811056
0.68,20.00805475912631
0.685,20.34468648836309
0.69,20.586773567818888
0.695,20.806815350107446
0.7,21.02711790494382
0.705,21.29775477129787
0.71,21.55763771944825
0.715,21.82115317922666
0.72,22.001975710229516
0.725,22.28403459649886
0.73,22.549362389326657
0.735,22.727856158135967
0.74,22.935309109351984
0.745,23.353251056937122
0.75,23.658707919430636
0.755,23.81782655374196
0.76,24.18605104893213
0.765,24.51276106320924
0.77,24.903753840011277
0.775,25.18053468177075
0.78,25.392967782853606
0.785,25.646874738743588
0.79,25.927758113173336
0.795,26.2266072190213
0.8,26.400299633874575
0.805,26.56893725780231
0.81,26.837427079036974
0.815,27.14092258774614
0.82,27.384883349826833
0.825,27.75851321659153
0.83,27.993386963963353
0.835,28.21030443659425
0.84,28.481094999911022
0.845,28.759326088720986
0.85,29.009861880209673
0.855,29.17729308009164
0.86,29.46469291121961
0.865,29.70215231758327
0.87,30.113410569651307
0.875,30.34234706757457
0.88,30.62329883708565
0.885,30.847650133967463
0.89,31.31697756128227
0.895,31.58470159938487
0.9,31.79984509672935
0.905,32.01440888645015
0.91,32.26086511664592
0.915,32.50642966843954
0.92,32.934233675742604
0.925,33.067689397090135
0.93,33.28154003289392
0.935,33.58241554873665
0.94,33.957059594116465
0.945,34.164467597147485
0.95,34.44803037803981
0.955,34.624614550534915
0.96,34.96810437331575
0.965,35.373070233659675
0.97,35.52601025823357
0.975,35.89891662288685
0.98,36.13780358736629
0.985,36.32442276849835
0.99,36.63604706728269
0.995,36.82047122356472
1.0,37.14658832799875
1.005,37.40169636728463
1.01,37.61975177851187
1.015,37.8173782232267
1.02,38.06264145926999
1.025,38.295615721219335
1.03,38.40969618856783
1.035,38.712312857705996
1.04,38.99141245570448
1.045,39.31359795250997
1.05,39.586952274157625
1.055,39.73022401883373
1.06,40.077834358303605
1.065,40.32172440776607
1.07,40.61821197053371
1.075,40.86546891307223
1.08,41.100108304307746
1.085,41.360434799732865
1.09,41.587287419064914
1.095,41.8271734535786
1.1,42.06681001599981
1.105,42.23751417235382
1.11,42.372897361381725
1.115,42.6582650277396
1.12,42.93493036880939
1.125,43.29120266242287
1.13,43.594134771563496
1.135,43.85395938544178
1.14,44.12730622744542
1.145,44.38576517074291
1.15,44.605142658592285
1.155,44.8806716838768
1.16,45.05671714073887
1.165,45.27545646045933
1.17,45.56200037050761
1.175,45.840749116214894
1.18,46.13436862988148
1.185,46.36529233727419
1.19,46.536232667238444
1.195,46.814592280171055
1.2,47.146241989052825
1.205,47.32691894719613
1.21,47.498413516322
1.215,47.74262448513048
1.22,48.04379315874101
1.225,48.181518732087696
1.23,48.314238783758064
1.235,48.499541303706636
1.24,48.71515753651303
1.245,48.94427173793294
1.25,49.24931197003534
1.255,49.46432953451834
1.26,49.7032119556568
1.265,49.93675326067122
1.27,50.165825687489345
1.275,50.30648537593528
1.28,50.452149872873925
1.285,50.68244499796435
1.29,50.88599587551715
1.295,51.06854343248016
1.3,51.31680625708826
1.305,51.63856080220552
1.31,51.96823729355818
1.315,52.2002111367158
1.32,52.364292953012026
1.325,52.5665374035853
1.33,52.72601844188371
1.335,52.884244674510434
1.34,53.126689713018855
1.345,53.349404570372066
1.35,53.55778874193405
1.355,53.71984848702237
1.36,53.85981060945727
1.365,54.03173574228905
1.37,54.273061146008935
1.375,54.3578135309016
1.38,54.54403854720959
1.385,54.82206807113893
1.39,55.1737060699957
1.395,55.318399487913275
1.4,55.5376986128663
1.405,55.7351622790531
1.41,55.824005218042046
1.415,55.94027933687422
1.42,56.124992984101894
1.425,56.32104879213154
1.43,56.43522268591268
1.435,56.603480155872944
1.44,56.68819448819173
1.445,56.85552151047208
1.45,56.96133230684205
1.455,57.23223563716997
1.46,57.42826847230801
1.465,57.67797164400611
1.47,57.75812865436136
1.475,57.872005706136996
1.48,58.11955438489954
1.485,58.30804148799368
1.49,58.40246945810154
1.495,58.58695227415763
1.5,58.87452827917234
1.505,59.08395747817157
1.51,59.29398857354686
1.515,59.57715159342831
1.52,59.79398088459195
1.525,59.89749122602498
1.53,60.03023408752781
1.535,60.20623718479041
1.54,60.40007518850125
1.545,60.58116554121112
1.55,60.71030727136086
1.555,60.87368400481368
1.56,61.11692972159265
1.565,61.23445147533887
1.57,61.34867853477545
1.575,61.519479579074165
1.58,61.658481694930586
1.585,61.80390159172069
1.59,62.011130960660935
1.595,62.059222278226954
1.6,62.219450577093916
1.605,62.42637069594191
1.61,62.7475380207249
1.615,62.98429833418981
1.62,63.160057143168125
1.625,63.294413612901224
1.63,63.43787115323086
1.635,63.50471908205051
1.64,63.74804468432171
1.645,63.96731515706852
1.65,64.11875501459033
1.655,64.22699313744899
1.66,64.48455105020176
1.665,64.6205242985329
1.67,64.80099814053665
1.675,64.85288991747305
1.68,65.1117064015588
1.685,65.24874768917971
1.69,65.37972332772209
1.695,65.51112562420616
1.7,65.81126791152126
1.705,65.97696631397667
1.71,66.18480808974714
1.715,66.32852902919291
1.72,66.44441678727
1.725,66.68115240000266
1.73,66.88661609221862
1.735,67.05338661136838
1.74,67.22984309880943
1.745,67.26901462354428
1.75,67.55370164593108
1.755,67.7106871535074
1.76,67.91699667596086
1.765,68.12563113741435
1.77,68.26021834581604
1.775,68.39980392575654
1.78,68.48468648836308
1.785,68.62368803549734
1.79,68.73032080784488
1.795,68.78409373727405
1.8,69.0423220303376
1.805,69.2
1.81,69.33631024768145
1.815,69.48149913281871
1.82,69.58612890461823
1.825,69.78776460640275
1.83,69.91722923250029
1.835,70.00008849644155
1.84,70.13329388577422
1.845,70.2692111802485
1.85,70.47808167945301
1.855,70.59498040317851
1.86,70.69327128362686
1.865,70.79494668943232
1.87,70.87856525319489
1.875,71.0479134323398
1.88,71.12885823765203
1.885,71.27197147959151
1.89,71.39291944087391
1.895,71.52878038323792
1.9,71.64314394333843
1.905,71.76974670310125
1.91,71.92202718368304
1.915,72.11855879246387
1.92,72.20823367998737
1.925,72.38781932386448
1.93,72.44373488326144
1.935,72.54446372800744
1.94,72.67903518978714
1.945,72.83644730922867
1.95,72.90326202617553
1.955,73.00095247913599
1.96,73.13865237131554
1.965,73.21252233356782
1.97,73.37097171880322
1.975,73.43553593985109
1.98,73.5649591949581
1.985,73.64270822428807
1.99,73.75604110206487
1.995,73.81885543304898
2.0,73.92983660421548
2.005,74.15174091250292
2.01,74.32248957755515
2.015,74.50843496051223
2.02,74.58148006621032
2.025,74.68090099231837
2.03,74.74130063807841
2.035,74.84526036593398
2.04,74.884306682949
2.045,74.92917226105428
2.05,75.02057272334935
2.055,75.04226429967616
2.06,75.20589673789262
2.065,75.33585013631345
2.07,75.46140333734473
2.075,75.58612890461823
2.08,75.65324231334024
2.085,75.81162585688459
2.09,75.9285283332363
2.095,76.0355351400198
2.1,76.16411151878845
2.105,76.31107652302104
2.11,76.47486289600904
2.115,76.61397620165263
2.12,76.72035130250742
2.125,76.75925587833919
2.13,76.9527957330334
2.135,77.0631765510043
2.14,77.21215531492648
2.145,77.37325794360733
2.15,77.44142881858626
2.155,77.58330206646002
2.16,77.62446322553704
2.165,77.76019802465517
2.17,77.84893134422913
2.175,78.01322350505987
2.18,78.08610336432791
2.185,78.2372009793146
2.19,78.33282054579931
2.195,78.41705108701098
2.2,78.50881563624905
2.205,78.59250701809722
2.21,78.71798031302217
2.215,78.82015228720704
2.22,78.98438391994253
2.225,79.03865308473844
2.23,79.1105799402488
2.235,79.20898731096655
2.24,79.35997416029299
2.245,79.45249434389552
2.25,79.56333478134982
2.255,79.65829434504708
2.26,79.71829434504708
2.265,79.75069196851442
2.27,79.80197967696887
2.275,79.88300378887044
2.28,79.93084865799223
2.285,79.92919445638114
2.29,80.03319361527932
2.295,80.20975261213552
2.3,80.26352642763602
2.305,80.41601275241268
2.31,80.4475207091357
2.315,80.55166703720174
2.32,80.66201126611145
2.325,80.72340638115719
2.33,80.85986523155829
2.335,80.91878726020725
2.34,80.98093845585782
2.345,81.03675744157977
2.35,81.11770960187648
2.355,81.16710355652086
2.36,81.26116549571549
2.365,81.41632054099156
2.37,81.5157875681243
2.375,81.56681957508302
2.38,81.64272829801791
2.385,81.69666819571897
2.39,81.735153902009
2.395,81.84172643569592
2.4,81.8919320181773
2.405,81.93887069907996
2.41,82.00263831878104
2.415,82.10973538579675
2.42,82.24798080185893
2.425,82.36871128339808
2.43,82.41906527956124
2.435,82.48470734635347
2.44,82.6185798319428
2.445,82.68559187235479
2.45,82.79530932979402
2.455,82.92563890815416
2.46,83.02208397960878
2.465,83.15803683595364
2.47,83.18200059737163
2.475,83.2400895534358
2.48,83.3367082089653
2.485,83.42021021684552
2.49,83.51547423746604
2.495,83.65304155108534
2.5,83.71255519024724
2.505,83.75962965079607
2.51,83.82703552610333
2.515,83.86117305185967
2.52,83.94492635742996
2.525,84.00852974638478
2.53,84.05795096250849
2.535,84.12535606842033
2.54,84.1900153374594
2.545,84.29360882718787
2.55,84.38970313876979
2.555,84.43635720715572
2.56,84.50907825775137
2.565,84.55195372141053
2.57,84.6439017647434
2.575,84.72467012858748
2.58,84.79372426040185
2.585,84.81065086089204
2.59,84.82411660544943
2.595,84.87261183887695
2.6,84.95372426040184
2.605,84.97664716318127
2.61,85.03294724303208
2.615,85.07490858638417
2.62,85.12063297478751
2.625,85.16126607641606
2.63,85.16232281663733
2.635,85.24570600599758
2.64,85.33556557252298
2.645,85.36378682154114
2.65,85.45236929002094
2.655,85.46241679524454
2.66,85.48941092855063
2.665,85.53224473476418
2.67,85.59610501071624
2.675,85.65934138230199
2.68,85.71961196277206
2.685,85.83585627598305
2.69,85.9290338854873
2.695,86.002308512189
2.7,86.06861309809403
2.705,86.12946650680107
2.71,86.12946650680107
2.715,86.15037880962072
2.72,86.19220438591448
2.725,86.27912398299182
2.73,86.47013846448806
2.735,86.54871938888347
2.74,86.58772525920212
2.745,86.65808698451053
2.75,86.70755476602602
2.755,86.75346338385042
2.76,86.75578734560878
2.765,86.77660671518238
2.77,86.86681976706608
2.775,86.92352396514627
2.78,86.96633546489169
2.785,87.04320677618806
2.79,87.14122604890257
2.795,87.2
2.8,87.21259786272432
2.805,87.27909690573858
2.81,87.34372392680112
2.815,87.38631713692864
2.82,87.39001612907421
2.825,87.46333513318987
2.83,87.50100339916018
2.835,87.52165092646572
2.84,87.56367628035738
2.845,87.57218228700263
2.85,87.60367302074073
2.855,87.7268462695818
2.86,87.77748489125354
2.865,87.80508400112899
2.87,87.86237269706592
2.875,87.87392875562833
2.88,87.89392875562834
2.885,87.92276311663706
2.89,88.0012305227423
2.895,88.07134522304194
2.9,88.09533256816927
2.905,88.15807629347741
2.91,88.22475040606926
2.915,88.27618066676852
2.92,88.34395750190053
2.925,88.39713957910092
2.93,88.43431387973692
2.935,88.51518175008613
2.94,88.56413178575056
2.945,88.59677587016343
2.95,88.67531100108589
2.955,88.7769523423307
2.96,88.8811707977872
2.965,88.90922195452893
2.97,88.9436205770688
2.975,88.95851521527815
2.98,88.98511983708445
2.985,89.07248436200909
2.99,89.09167820870172
2.995,89.12679445321221
3.0,89.12679445321221
3.005,89.1512667112759
3.01,89.1512667112759
3.015,89.18247625938292
3.02,89.21822420287097
3.025,89.2525833344765
3.03,89.37552525645283
3.035,89.39794683762219
3.04,89.43646674812605
3.045,89.57282671066663
3.05,89.59928336408994
3.055,89.67421267123693
3.06,89.71558956068534
3.065,89.75388190848508
3.07,89.77133248711452
3.075,89.78190374121637
3.08,89.8207639902224
3.085,89.89211616751135
3.09,89.92945998111853
3.095,89.92731958211765
3.1,89.95230995414725
3.105,90.00764083315877
3.11,90.04080713183541
3.115,90.06805329643066
3.12,90.09671517309226
3.125,90.13993007078498
3.13,90.18370869832926
3.135,90.23309608141962
3.14,90.28516257054994
3.145,90.2798601432797
3.15,90.2798601432797
3.155,90.2974137567577
