time,recovered STD
1.07,5.481788029466297
1.075,5.464531086927771
1.08,5.539891695692254
1.085,5.519565200267138
1.09,5.512712580935088
1.095,5.502826546421394
1.1,5.503189984000188
1.105,5.512485827646181
1.11,5.607102638618273
1.115,5.591734972260398
1.12,5.56506963119061
1.125,5.528797337577133
1.13,5.475865228436507
1.135,5.466040614558221
1.14,5.402693772554577
1.145,5.374234829257094
1.15,5.344857341407721
1.155,5.359328316123207
1.16,5.393282859261138
1.165,5.394543539540671
1.17,5.397999629492392
1.175,5.339250883785104
1.18,5.365631370118525
1.185,5.34470766272581
1.19,5.3637673327615545
1.195,5.365407719828942
1.2,5.3637580109471745
1.205,5.373081052803875
1.21,5.421586483678002
1.215,5.447375514869522
1.22,5.376206841258993
1.225,5.3984812679123015
1.23,5.435761216241935
1.235,5.450458696293369
1.24,5.474842463486962
1.245,5.475728262067065
1.25,5.450688029964658
1.255,5.425670465481661
1.26,5.446788044343198
1.265,5.453246739328782
1.27,5.404174312510654
1.275,5.39351462406472
1.28,5.417850127126072
1.285,5.397555002035645
1.29,5.334004124482842
1.295,5.321456567519836
1.3,5.29319374291174
1.305,5.281439197794481
1.31,5.191762706441813
1.315,5.209788863284194
1.32,5.215707046987973
1.325,5.243462596414701
1.33,5.313981558116288
1.335,5.345755325489561
1.34,5.303310286981142
1.345,5.290595429627935
1.35,5.292211258065952
1.355,5.280151512977634
1.36,5.280189390542731
1.365,5.328264257710948
1.37,5.306938853991066
1.375,5.3521864690984
1.38,5.3959614527904085
1.385,5.317931928861069
1.39,5.2462939300043026
1.395,5.311600512086729
1.4,5.302301387133705
1.405,5.3148377209468975
1.41,5.365994781957954
1.415,5.3697206631257846
1.42,5.3450070158981084
1.425,5.338951207868453
1.43,5.444777314087326
1.435,5.486519844127058
1.44,5.511805511808268
1.445,5.584478489527915
1.45,5.628667693157947
1.455,5.567764362830023
1.46,5.631731527691991
1.465,5.572028355993893
1.47,5.611871345638637
1.475,5.607994293863004
1.48,5.610445615100461
1.485,5.591958512006324
1.49,5.627530541898461
1.495,5.563047725842374
1.5,5.485471720827661
1.505,5.456042521828435
1.51,5.426011426453138
1.515,5.372848406571695
1.52,5.336019115408041
