time,detectable sentinels upper
446.0,54.3004619420251
447.0,54.44374735841035
448.0,54.57478955930739
449.0,54.65636029329752
450.0,54.817540131692425
451.0,54.94509972887452
452.0,55.0719983744241
453.0,55.19335289688905
454.0,55.21663868718205
455.0,55.30616178304313
456.0,55.385723783445414
457.0,55.425975502298364
458.0,55.54297607290741
459.0,55.7091519186403
460.0,55.819526371831955
461.0,55.927930509987185
462.0,55.969882919166125
463.0,56.05815910790634
464.0,56.15087340008063
465.0,56.21986263606669
466.0,56.32171447603374
467.0,56.40094644062072
468.0,56.508536940896846
469.0,56.697386673770595
470.0,56.698539798058555
471.0,56.90144794422524
472.0,57.035529974037324
473.0,57.09761866185229
474.0,57.29932429347437
475.0,57.35042623939919
476.0,57.41417113986379
477.0,57.484443106964804
478.0,57.654559406203724
479.0,57.720000000000006
480.0,57.85086155072797
481.0,57.95181117500984
482.0,58.08235336473975
483.0,58.167625466774965
484.0,58.29761866185229
485.0,58.37339427153091
486.0,58.49266113606292
487.0,58.63257863484473
488.0,58.72466883255512
489.0,58.81622673267859
490.0,58.90094644062073
491.0,58.982402916159806
492.0,59.06345221562205
493.0,59.15305874613757
494.0,59.20456166374646
495.0,59.28759709094903
496.0,59.384705978674425
497.0,59.468991584360076
498.0,59.511950782828414
499.0,59.556077353840834
500.0,59.67080640601047
501.0,59.74710319835486
502.0,59.85197598432165
503.0,59.93244387378001
504.0,60.0280122767752
505.0,60.19164087343117
506.0,60.32476031788331
507.0,60.427155330607874
508.0,60.64946451413456
509.0,60.885157220130054
510.0,61.01137039407852
511.0,61.06747884280155
512.0,61.10788750258689
513.0,61.18691334761283
514.0,61.260906497786735
515.0,61.33501929821948
516.0,61.46257973117065
517.0,61.586818109239545
518.0,61.65273252353921
519.0,61.76623118205208
520.0,61.832453074565464
521.0,61.883064072766764
522.0,61.99227235471891
523.0,62.088171723801025
524.0,62.23016570407364
525.0,62.29343619338459
526.0,62.45477501435431
527.0,62.59775825966956
528.0,62.63650271719518
529.0,62.70273462531291
530.0,62.78257922808569
531.0,62.92901289810013
532.0,63.09070811863863
533.0,63.19254982028854
534.0,63.28451512364059
535.0,63.36
536.0,63.437340529423146
537.0,63.48621812027473
538.0,63.56221538571911
539.0,63.68349765061517
540.0,63.80850784377509
541.0,63.881759303874624
542.0,63.958117386453395
543.0,64.02996307227743
544.0,64.14724463869898
545.0,64.20212984199505
546.0,64.30119634924287
547.0,64.37393218799241
548.0,64.47800561465488
549.0,64.54007429379499
550.0,64.65428967154612
551.0,64.67382948538544
552.0,64.80312333667922
553.0,64.84990269390207
554.0,64.94085196368893
555.0,65.0474995361781
556.0,65.14868094337479
557.0,65.18954408012982
558.0,65.20600928699174
559.0,65.33038172562017
560.0,65.42822846499729
561.0,65.4783231428256
562.0,65.59971513634578
563.0,65.73384099599622
564.0,65.81222772184708
565.0,65.89827772158286
566.0,66.01176934257732
567.0,66.19148491007778
568.0,66.24210177046253
569.0,66.24830805543787
570.0,66.36541947509711
571.0,66.4231611200696
572.0,66.55276714501572
573.0,66.66075296935522
574.0,66.77767575696359
575.0,66.84690332913264
576.0,66.9319653316496
577.0,67.003382598348
578.0,67.14600928699174
579.0,67.20696332673279
580.0,67.32575238490791
581.0,67.36487078526618
582.0,67.45943281181324
583.0,67.57866058080032
584.0,67.60797146248407
585.0,67.65347380451504
586.0,67.7379522111692
587.0,67.81426422969919
588.0,67.88818762687157
589.0,67.93201307188274
590.0,67.98394816780709
591.0,68.03679506172658
592.0,68.11863081289633
593.0,68.2080191387286
594.0,68.31239446445495
595.0,68.38427149582634
596.0,68.42673313360119
597.0,68.49736790015417
598.0,68.59634630617676
599.0,68.7237004706356
600.0,68.73249575951617
601.0,68.7777824345704
602.0,68.90171664556686
603.0,68.93578653384114
604.0,68.99885486172964
605.0,69.07817047658872
606.0,69.14156904139301
607.0,69.19230313525178
608.0,69.29431426027669
609.0,69.39418342383269
610.0,69.45451080902492
611.0,69.5834553042145
612.0,69.73054613090315
613.0,69.80392519883544
614.0,69.91365546851526
615.0,69.98724369486885
616.0,70.08508199796158
617.0,70.18098927103065
618.0,70.24344472694153
619.0,70.32458554837508
620.0,70.41258333280425
621.0,70.45288397559113
622.0,70.54377191508102
623.0,70.58572501735111
624.0,70.66161767204447
625.0,70.67690328253413
626.0,70.78355939092386
627.0,70.82806347199528
628.0,70.91975231723322
629.0,70.97519945470316
630.0,71.06564568874988
631.0,71.11587194429336
632.0,71.14974338523709
633.0,71.15549841685541
634.0,71.17808748764078
635.0,71.31937300994385
636.0,71.35428088911581
637.0,71.3814690238522
638.0,71.4639419921686
639.0,71.55191009053098
640.0,71.64039493238771
641.0,71.68012738724303
642.0,71.76516481118644
643.0,71.88348005452694
644.0,72.01516351247153
645.0,72.10668938992617
646.0,72.15913651918375
647.0,72.24721107597969
648.0,72.288083968905
649.0,72.31637853947556
650.0,72.35519879200656
651.0,72.39012038406963
652.0,72.46675396340116
653.0,72.53390022522159
654.0,72.56621658756374
655.0,72.65583731226054
656.0,72.72589380154308
657.0,72.79821230307084
658.0,72.84040127118631
659.0,72.89584130861043
660.0,72.89255628777539
661.0,72.91015421884875
662.0,73.04315032760739
663.0,73.15866330219316
664.0,73.26176257158184
665.0,73.32655603042323
666.0,73.3845876773926
667.0,73.41449917531574
668.0,73.42169605197155
669.0,73.4367629062479
670.0,73.5149656980487
671.0,73.5651111550238
672.0,73.57899668231016
673.0,73.59928798487334
674.0,73.66244251092348
675.0,73.7564158920334
676.0,73.78086453936149
677.0,73.85364491962162
678.0,73.88531683561857
679.0,73.98086453936146
680.0,74.01964051231771
681.0,74.07207619620597
682.0,74.15359473035014
683.0,74.19779181200535
684.0,74.29308052929588
685.0,74.37044859696253
686.0,74.3814704115923
687.0,74.411464636239
688.0,74.50621218668326
689.0,74.55577342055679
690.0,74.58441017568222
691.0,74.6163714733492
692.0,74.69903744481954
693.0,74.80189513141153
694.0,74.8279068093284
695.0,74.90528228434732
696.0,74.95164750695787
697.0,75.07206276254132
698.0,75.12595143396686
699.0,75.23252793573504
700.0,75.26048857990959
701.0,75.34016233552332
702.0,75.3941787774204
703.0,75.43967531611854
704.0,75.50152578506331
705.0,75.58508732675664
706.0,75.59389941323913
707.0,75.71031706499754
708.0,75.74328902136307
709.0,75.76946979762523
710.0,75.86473672903578
711.0,75.97107016787096
712.0,76.03837640941181
713.0,76.12752786779274
714.0,76.20528228434732
715.0,76.2678416401859
716.0,76.28471948577493
717.0,76.33385943481663
718.0,76.37713517125664
719.0,76.42270875719494
720.0,76.45144610816291
721.0,76.55843986584412
722.0,76.59521979882403
723.0,76.66616710039874
724.0,76.70409698481274
725.0,76.72515431902762
726.0,76.7642090693861
727.0,76.79276339633999
728.0,76.87618301238533
729.0,76.89710894034668
730.0,76.95741179475739
731.0,77.01249114951452
732.0,77.09349065127947
733.0,77.2297937258623
734.0,77.31745431194355
735.0,77.31032177363545
736.0,77.33862794359185
737.0,77.38220523523528
738.0,77.41515611787071
739.0,77.46381938640262
740.0,77.47413046237735
741.0,77.55707775129069
742.0,77.62083606195655
743.0,77.6900586261778
744.0,77.75807982578722
745.0,77.77103178988337
746.0,77.81384942801208
747.0,77.89441210496899
748.0,77.93983277358154
749.0,78.00081797420019
750.0,77.95994923836068
751.0,77.98931351938512
752.0,78.00818849646726
753.0,78.12657840309751
754.0,78.15290114918218
755.0,78.22894416260198
756.0,78.34642749892741
757.0,78.44905510929611
758.0,78.52413191060955
759.0,78.56343284887342
760.0,78.55595822087724
761.0,78.55317711067524
762.0,78.62153041308127
763.0,78.63319878564593
764.0,78.71323841988348
765.0,78.7438001334748
766.0,78.81606031497277
767.0,78.85486909724159
768.0,78.89967409037588
769.0,78.93652888473153
770.0,78.96098098430893
771.0,78.97030223736206
772.0,78.9877495634082
773.0,79.02630054431273
774.0,79.05925984958498
775.0,79.07841357614305
776.0,79.09203956945802
777.0,79.13808996108952
778.0,79.20272662286082
779.0,79.25737702097737
780.0,79.36133897453453
781.0,79.389991289192
782.0,79.51953204341565
783.0,79.66704041516789
784.0,79.73447602441827
785.0,79.78022221800164
786.0,79.83952052826257
787.0,79.8543465786667
788.0,79.9077688052795
789.0,79.98562869605638
790.0,80.0440941329416
791.0,80.10042733481923
792.0,80.20893516747289
793.0,80.2328576649958
794.0,80.28557558782487
795.0,80.29016266896737
796.0,80.36110722095925
797.0,80.43558607472433
798.0,80.43558607472433
799.0,80.5119945689045
800.0,80.62705660509498
801.0,80.67737674437647
802.0,80.73569827109009
803.0,80.84985690063321
804.0,80.8878063182992
805.0,80.8984600362531
806.0,80.94177638278039
807.0,80.97178182644379
808.0,80.96383179874944
809.0,81.00859438025836
810.0,81.0875760309842
811.0,81.1274782377517
812.0,81.15747385824298
813.0,81.23114980221081
814.0,81.25326700739443
815.0,81.33608713345879
816.0,81.34180075105452
817.0,81.37987993015294
818.0,81.38375740361363
819.0,81.38326332907457
820.0,81.49589907224627
821.0,81.49913786695919
822.0,81.56515235852248
823.0,81.6575550446319
824.0,81.68417658870777
825.0,81.766003750425
826.0,81.842341411777
827.0,81.88
828.0,81.93046926448727
829.0,81.96131609127383
830.0,81.98811080606379
831.0,82.04680015102629
832.0,82.08330952376093
833.0,82.12145779372534
834.0,82.14547237073907
835.0,82.15889262748495
836.0,82.17946456937082
837.0,82.27473175348015
838.0,82.30833020863294
839.0,82.34547237073907
840.0,82.3790532791497
841.0,82.38216597127976
842.0,82.40978335815133
843.0,82.41813882922116
844.0,82.43415059200926
845.0,82.46734259043332
846.0,82.51839138219832
847.0,82.53798563417953
848.0,82.54978069753565
849.0,82.6268085502315
850.0,82.65722739584791
851.0,82.69912273951
852.0,82.68889954128439
853.0,82.68058404061031
854.0,82.73452031564128
855.0,82.75252171488005
856.0,82.74305671371415
857.0,82.79419052419273
858.0,82.80187693836665
859.0,82.87721653970816
860.0,82.9278797410109
861.0,82.9675976990134
862.0,82.99944541077198
863.0,83.01731118012972
864.0,83.04107516523473
865.0,83.04606875407423
866.0,83.07506064656981
867.0,83.07879266147151
868.0,83.09133136118454
869.0,83.14480734024318
870.0,83.18307746167847
871.0,83.221054444377
872.0,83.28470813708743
873.0,83.35060575344147
874.0,83.32791018546305
875.0,83.36370039659899
876.0,83.41695886002451
877.0,83.42243982085084
878.0,83.54951640201942
879.0,83.60908340833572
880.0,83.6239180081696
881.0,83.63086989407365
882.0,83.67633576679441
883.0,83.69915744414831
884.0,83.79031933376149
885.0,83.79636076379889
886.0,83.86076917659042
887.0,83.863700396599
888.0,83.87566003351938
889.0,83.92147038951789
890.0,83.93861860881754
891.0,83.93013863038647
892.0,83.97286824475756
893.0,83.97286824475756
894.0,84.01266662538188
895.0,84.02138041925771
896.0,84.037602458033
897.0,84.10274365341785
898.0,84.13108275213256
899.0,84.15924806716137
900.0,84.1759494909017
901.0,84.18085382077705
902.0,84.21791625549325
903.0,84.22672573806534
904.0,84.3010265158047
905.0,84.3430541434732
906.0,84.345654098207
907.0,84.39360828383693
908.0,84.42064634812111
909.0,84.45819703503959
910.0,84.49470322050541
911.0,84.523294204592
912.0,84.58009487580632
