time,detectable sentinels lower
1614.0,85.90083341845421
1615.0,85.91447549387811
1616.0,85.92078438912577
1617.0,85.92222554438237
1618.0,85.92222554438237
1619.0,85.94477050828232
1620.0,85.94477050828232
1621.0,85.96588659951641
1622.0,85.98951973283947
1623.0,85.98951973283947
1624.0,86.00088679635564
1625.0,86.00088679635564
1626.0,86.00243315973788
1627.0,86.00243315973788
1628.0,86.00243315973788
1629.0,86.00243315973788
1630.0,86.02123171393093
1631.0,86.04501545120381
1632.0,86.04660636009774
1633.0,86.04660636009774
1634.0,86.06550992089238
1635.0,86.06550992089238
1636.0,86.06550992089238
1637.0,86.06550992089238
1638.0,86.06550992089238
1639.0,86.06550992089238
1640.0,86.07703079408215
1641.0,86.07703079408215
1642.0,86.09105211719685
1643.0,86.11006203521691
1644.0,86.11006203521691
1645.0,86.11006203521691
1646.0,86.11006203521691
1647.0,86.11006203521691
1648.0,86.15406456508617
1649.0,86.15406456508617
1650.0,86.15406456508617
1651.0,86.15406456508617
1652.0,86.15406456508617
1653.0,86.1782415944711
1654.0,86.19242536210821
1655.0,86.19658438020836
1656.0,86.20328455994161
1657.0,86.20328455994161
1658.0,86.20328455994161
1659.0,86.20328455994161
1660.0,86.22507861712964
1661.0,86.22507861712964
1662.0,86.22507861712964
1663.0,86.22930910519291
1664.0,86.23286352497192
1665.0,86.23286352497192
1666.0,86.28603472586889
1667.0,86.28603472586889
1668.0,86.29482748177698
1669.0,86.29482748177698
1670.0,86.29482748177698
1671.0,86.29676822611059
1672.0,86.29676822611059
1673.0,86.29676822611059
1674.0,86.30125019537356
1675.0,86.31780060466747
1676.0,86.31780060466747
1677.0,86.32486579500761
1678.0,86.32486579500761
1679.0,86.367041404696
1680.0,86.367041404696
1681.0,86.3816880162971
1682.0,86.39888904472495
1683.0,86.42119005268677
1684.0,86.4613777931523
1685.0,86.4613777931523
1686.0,86.46343661709122
1687.0,86.48802345748983
1688.0,86.48802345748983
1689.0,86.4850794163033
1690.0,86.49234841561623
1691.0,86.49234841561623
1692.0,86.51966922511603
1693.0,86.51966922511603
1694.0,86.53464651273289
1695.0,86.53464651273289
1696.0,86.53464651273289
1697.0,86.53464651273289
1698.0,86.53464651273289
1699.0,86.56214344315671
1700.0,86.5744427147219
1701.0,86.5819088605278
1702.0,86.5819088605278
1703.0,86.5819088605278
1704.0,86.5819088605278
1705.0,86.59449366323273
1706.0,86.59449366323273
1707.0,86.59449366323273
1708.0,86.59449366323273
1709.0,86.59449366323273
1710.0,86.60455734980117
1711.0,86.60455734980117
1712.0,86.60455734980117
1713.0,86.60455734980117
1714.0,86.60455734980117
1715.0,86.60455734980117
1716.0,86.60455734980117
1717.0,86.60455734980117
1718.0,86.60455734980117
1719.0,86.60455734980117
1720.0,86.60455734980117
1721.0,86.60955473260344
1722.0,86.60955473260344
1723.0,86.63744980911653
1724.0,86.63744980911653
1725.0,86.63744980911653
1726.0,86.65527140148897
1727.0,86.65527140148897
1728.0,86.66290924281809
1729.0,86.66290924281809
1730.0,86.66290924281809
1731.0,86.66290924281809
1732.0,86.66292729886497
1733.0,86.66292729886497
1734.0,86.66292729886497
1735.0,86.67826568977448
1736.0,86.67826568977448
1737.0,86.69108433364534
1738.0,86.69108433364534
1739.0,86.69108433364534
1740.0,86.69133271270599
1741.0,86.69133271270599
1742.0,86.69133271270599
1743.0,86.69133271270599
1744.0,86.69406538320767
1745.0,86.69406538320767
1746.0,86.69406538320767
1747.0,86.69406538320767
1748.0,86.69406538320767
1749.0,86.69406538320767
1750.0,86.69406538320767
1751.0,86.69936713930541
1752.0,86.70217231299794
1753.0,86.70501576295693
1754.0,86.71798031302217
1755.0,86.71798031302217
1756.0,86.72592381506107
1757.0,86.73641576347872
1758.0,86.73641576347872
1759.0,86.7393703270136
1760.0,86.7393703270136
1761.0,86.7393703270136
1762.0,86.7393703270136
1763.0,86.7393703270136
