time,undetectable crops mean
626.0,33.9
627.0,33.85
628.0,33.87
629.0,33.81
630.0,33.79
631.0,33.8
632.0,33.86
633.0,33.88
634.0,33.93
635.0,33.89
636.0,33.86
637.0,33.82
638.0,33.81
639.0,33.81
640.0,33.77
641.0,33.75
642.0,33.7
643.0,33.66
644.0,33.68
645.0,33.69
646.0,33.75
647.0,33.76
648.0,33.75
649.0,33.74
650.0,33.72
651.0,33.73
652.0,33.67
653.0,33.61
654.0,33.6
655.0,33.55
656.0,33.52
657.0,33.51
658.0,33.5
659.0,33.53
660.0,33.54
661.0,33.46
662.0,33.46
663.0,33.43
664.0,33.36
665.0,33.37
666.0,33.4
667.0,33.49
668.0,33.51
669.0,33.51
670.0,33.49
671.0,33.5
672.0,33.48
673.0,33.44
674.0,33.4
675.0,33.41
676.0,33.4
677.0,33.38
678.0,33.33
679.0,33.26
680.0,33.19
681.0,33.2
682.0,33.2
683.0,33.22
684.0,33.19
685.0,33.16
686.0,33.07
687.0,33.08
688.0,33.11
689.0,33.07
690.0,33.02
691.0,32.99
692.0,32.98
693.0,32.98
694.0,32.94
695.0,32.88
696.0,32.83
697.0,32.8
698.0,32.75
699.0,32.73
700.0,32.8
701.0,32.77
702.0,32.7
703.0,32.72
704.0,32.64
705.0,32.58
706.0,32.49
707.0,32.48
708.0,32.41
709.0,32.43
710.0,32.44
711.0,32.4
712.0,32.35
713.0,32.31
714.0,32.28
715.0,32.26
716.0,32.2
717.0,32.16
718.0,32.19
719.0,32.23
720.0,32.22
721.0,32.23
722.0,32.2
723.0,32.19
724.0,32.14
725.0,32.16
726.0,32.15
727.0,32.16
728.0,32.14
729.0,32.11
730.0,32.12
731.0,32.08
732.0,32.04
733.0,31.99
734.0,31.98
735.0,31.91
736.0,31.9
737.0,31.87
738.0,31.82
739.0,31.81
740.0,31.81
741.0,31.8
742.0,31.78
743.0,31.74
744.0,31.74
745.0,31.76
746.0,31.74
747.0,31.7
748.0,31.7
749.0,31.65
750.0,31.56
751.0,31.52
752.0,31.45
753.0,31.41
754.0,31.39
755.0,31.39
756.0,31.36
757.0,31.36
758.0,31.32
759.0,31.31
760.0,31.25
761.0,31.23
762.0,31.19
763.0,31.21
764.0,31.16
765.0,31.11
766.0,31.07
767.0,31.03
768.0,31.0
769.0,30.99
770.0,30.96
771.0,30.87
772.0,30.87
773.0,30.85
774.0,30.79
775.0,30.79
776.0,30.75
777.0,30.72
778.0,30.64
779.0,30.62
780.0,30.55
781.0,30.54
782.0,30.56
783.0,30.53
784.0,30.5
785.0,30.48
786.0,30.42
787.0,30.42
788.0,30.34
789.0,30.31
790.0,30.29
791.0,30.23
792.0,30.22
793.0,30.21
794.0,30.13
795.0,30.1
796.0,30.13
797.0,30.1
798.0,30.08
799.0,30.06
800.0,30.1
801.0,30.04
802.0,30.0
803.0,29.96
804.0,29.92
805.0,29.9
806.0,29.82
807.0,29.77
808.0,29.77
809.0,29.71
810.0,29.7
811.0,29.64
812.0,29.6
813.0,29.6
814.0,29.61
815.0,29.61
816.0,29.57
817.0,29.56
818.0,29.47
819.0,29.41
820.0,29.35
821.0,29.35
822.0,29.35
823.0,29.31
824.0,29.24
825.0,29.22
826.0,29.22
827.0,29.22
828.0,29.2
829.0,29.15
830.0,29.1
831.0,29.05
832.0,29.04
833.0,29.03
834.0,29.0
835.0,28.97
836.0,28.95
837.0,28.92
838.0,28.94
839.0,28.95
840.0,28.95
841.0,28.97
842.0,28.98
843.0,28.87
844.0,28.82
845.0,28.76
846.0,28.79
847.0,28.77
848.0,28.73
849.0,28.76
850.0,28.73
851.0,28.69
852.0,28.68
853.0,28.63
854.0,28.58
855.0,28.54
856.0,28.52
857.0,28.46
858.0,28.4
859.0,28.36
860.0,28.36
861.0,28.32
862.0,28.32
863.0,28.21
864.0,28.17
865.0,28.14
866.0,28.09
867.0,28.08
868.0,28.1
869.0,28.03
870.0,28.01
871.0,27.93
872.0,27.9
873.0,27.86
874.0,27.82
875.0,27.84
876.0,27.8
877.0,27.75
878.0,27.77
879.0,27.74
880.0,27.7
881.0,27.67
882.0,27.6
883.0,27.58
884.0,27.58
885.0,27.52
886.0,27.46
887.0,27.38
888.0,27.35
889.0,27.33
890.0,27.26
891.0,27.19
892.0,27.16
893.0,27.12
894.0,27.14
895.0,27.11
896.0,27.08
897.0,27.07
898.0,27.07
899.0,27.01
900.0,26.96
901.0,26.89
902.0,26.85
903.0,26.82
904.0,26.77
905.0,26.71
906.0,26.66
907.0,26.66
908.0,26.64
909.0,26.61
910.0,26.57
911.0,26.63
912.0,26.65
913.0,26.63
914.0,26.63
915.0,26.67
916.0,26.64
917.0,26.6
918.0,26.61
919.0,26.59
920.0,26.58
921.0,26.56
922.0,26.5
923.0,26.45
924.0,26.44
925.0,26.43
926.0,26.43
927.0,26.39
928.0,26.32
929.0,26.28
930.0,26.22
931.0,26.21
932.0,26.19
933.0,26.14
934.0,26.13
935.0,26.11
936.0,26.04
937.0,26.07
938.0,25.99
939.0,25.93
940.0,25.82
941.0,25.71
942.0,25.65
943.0,25.61
944.0,25.61
945.0,25.59
946.0,25.54
947.0,25.47
948.0,25.47
949.0,25.46
950.0,25.46
951.0,25.41
952.0,25.39
953.0,25.41
954.0,25.39
955.0,25.33
956.0,25.29
957.0,25.28
958.0,25.25
959.0,25.24
960.0,25.24
961.0,25.22
962.0,25.16
963.0,25.13
964.0,25.13
965.0,25.13
966.0,25.1
967.0,25.1
968.0,25.07
969.0,25.05
970.0,25.0
971.0,24.95
972.0,24.88
973.0,24.84
974.0,24.8
975.0,24.78
976.0,24.76
977.0,24.74
978.0,24.72
979.0,24.67
980.0,24.62
981.0,24.56
982.0,24.52
983.0,24.48
984.0,24.41
985.0,24.37
986.0,24.34
987.0,24.24
988.0,24.26
989.0,24.28
990.0,24.27
991.0,24.26
992.0,24.2
993.0,24.15
994.0,24.14
995.0,24.11
996.0,24.05
997.0,24.01
998.0,23.93
999.0,23.93
1000.0,23.88
1001.0,23.89
1002.0,23.87
1003.0,23.85
1004.0,23.76
1005.0,23.71
1006.0,23.71
1007.0,23.72
1008.0,23.65
1009.0,23.61
1010.0,23.58
1011.0,23.53
1012.0,23.51
1013.0,23.49
1014.0,23.42
1015.0,23.41
1016.0,23.37
1017.0,23.33
1018.0,23.32
1019.0,23.28
1020.0,23.25
1021.0,23.17
1022.0,23.13
1023.0,23.03
1024.0,23.05
1025.0,23.03
1026.0,23.04
1027.0,22.98
1028.0,22.95
1029.0,22.93
1030.0,22.84
1031.0,22.82
1032.0,22.79
1033.0,22.78
1034.0,22.74
1035.0,22.65
1036.0,22.61
1037.0,22.56
1038.0,22.55
1039.0,22.53
1040.0,22.47
1041.0,22.44
1042.0,22.39
1043.0,22.36
1044.0,22.29
1045.0,22.21
1046.0,22.19
1047.0,22.19
1048.0,22.17
1049.0,22.1
1050.0,22.03
1051.0,22.0
1052.0,21.99
1053.0,21.96
1054.0,21.96
1055.0,21.95
1056.0,21.92
1057.0,21.84
1058.0,21.82
1059.0,21.78
1060.0,21.73
1061.0,21.72
1062.0,21.7
1063.0,21.63
1064.0,21.58
1065.0,21.59
1066.0,21.54
1067.0,21.49
1068.0,21.47
1069.0,21.43
1070.0,21.37
1071.0,21.33
1072.0,21.3
1073.0,21.28
1074.0,21.29
1075.0,21.23
1076.0,21.19
1077.0,21.15
1078.0,21.11
1079.0,21.07
1080.0,21.05
1081.0,21.04
1082.0,20.99
1083.0,20.95
1084.0,20.94
1085.0,20.93
1086.0,20.89
1087.0,20.83
1088.0,20.8
1089.0,20.76
1090.0,20.77
1091.0,20.78
1092.0,20.79
1093.0,20.69
1094.0,20.67
1095.0,20.64
1096.0,20.59
1097.0,20.58
1098.0,20.53
1099.0,20.52
1100.0,20.49
1101.0,20.47
1102.0,20.46
1103.0,20.42
1104.0,20.39
1105.0,20.33
1106.0,20.34
1107.0,20.26
1108.0,20.22
1109.0,20.22
1110.0,20.12
1111.0,20.08
1112.0,20.06
1113.0,20.0
1114.0,19.96
1115.0,19.94
1116.0,19.96
1117.0,19.98
1118.0,19.95
1119.0,19.93
1120.0,19.9
1121.0,19.87
1122.0,19.85
1123.0,19.83
1124.0,19.83
1125.0,19.81
1126.0,19.75
1127.0,19.74
1128.0,19.67
1129.0,19.65
1130.0,19.66
1131.0,19.63
1132.0,19.61
1133.0,19.62
1134.0,19.6
1135.0,19.6
1136.0,19.58
1137.0,19.55
1138.0,19.52
1139.0,19.45
1140.0,19.41
1141.0,19.38
1142.0,19.35
1143.0,19.29
1144.0,19.28
1145.0,19.29
1146.0,19.31
1147.0,19.31
1148.0,19.3
1149.0,19.28
1150.0,19.26
1151.0,19.23
1152.0,19.17
1153.0,19.13
1154.0,19.07
1155.0,19.08
1156.0,19.09
1157.0,19.06
1158.0,19.05
1159.0,19.03
1160.0,19.05
1161.0,18.98
1162.0,18.98
1163.0,18.98
1164.0,18.93
1165.0,18.9
1166.0,18.88
1167.0,18.84
1168.0,18.82
1169.0,18.8
1170.0,18.75
1171.0,18.73
1172.0,18.71
1173.0,18.67
1174.0,18.62
1175.0,18.57
1176.0,18.52
1177.0,18.45
1178.0,18.45
1179.0,18.41
1180.0,18.36
1181.0,18.36
1182.0,18.33
1183.0,18.27
1184.0,18.28
1185.0,18.25
1186.0,18.29
1187.0,18.29
1188.0,18.27
1189.0,18.22
1190.0,18.23
1191.0,18.21
1192.0,18.16
1193.0,18.15
1194.0,18.11
1195.0,18.06
1196.0,18.06
1197.0,18.06
1198.0,18.06
1199.0,18.06
1200.0,18.03
1201.0,18.02
1202.0,18.0
1203.0,17.99
1204.0,18.0
1205.0,17.98
1206.0,17.95
1207.0,17.93
1208.0,17.87
1209.0,17.84
1210.0,17.82
1211.0,17.84
1212.0,17.81
1213.0,17.78
1214.0,17.73
1215.0,17.71
1216.0,17.64
1217.0,17.61
1218.0,17.61
1219.0,17.58
1220.0,17.56
1221.0,17.48
1222.0,17.43
1223.0,17.4
1224.0,17.38
1225.0,17.37
1226.0,17.35
1227.0,17.32
1228.0,17.3
1229.0,17.3
1230.0,17.27
1231.0,17.25
1232.0,17.22
1233.0,17.19
1234.0,17.2
1235.0,17.16
1236.0,17.13
1237.0,17.13
1238.0,17.1
1239.0,17.06
1240.0,17.03
1241.0,17.01
1242.0,16.99
1243.0,16.97
1244.0,16.96
1245.0,16.93
1246.0,16.92
1247.0,16.88
1248.0,16.85
1249.0,16.8
1250.0,16.75
1251.0,16.71
1252.0,16.72
1253.0,16.65
1254.0,16.64
1255.0,16.59
1256.0,16.56
1257.0,16.56
1258.0,16.53
1259.0,16.48
1260.0,16.44
1261.0,16.43
1262.0,16.42
1263.0,16.41
1264.0,16.38
1265.0,16.35
1266.0,16.36
1267.0,16.35
1268.0,16.32
1269.0,16.3
1270.0,16.31
1271.0,16.29
1272.0,16.27
1273.0,16.21
1274.0,16.19
1275.0,16.14
1276.0,16.16
1277.0,16.17
1278.0,16.15
1279.0,16.14
1280.0,16.1
1281.0,16.1
1282.0,16.08
1283.0,16.07
1284.0,16.03
1285.0,16.0
1286.0,15.97
1287.0,15.98
1288.0,15.96
1289.0,15.91
1290.0,15.9
1291.0,15.87
1292.0,15.83
1293.0,15.8
1294.0,15.76
1295.0,15.71
1296.0,15.73
1297.0,15.69
1298.0,15.64
1299.0,15.61
