time,infected upper
2.27,36.27483377181738
2.275,36.280701418487304
2.28,36.347711585852274
2.285,36.28914729244228
2.29,36.33391084549688
2.295,36.376764731987805
2.3,36.307784210084364
2.305,36.24806455374103
2.31,36.12811716219004
2.315,36.12190964560154
2.32,36.01078507712099
2.325,35.997955088169604
2.33,35.87194219272698
2.335,35.684944175629276
2.34,35.66464852310662
2.345,35.63434554119729
2.35,35.582826832947234
2.355,35.57949145172757
2.36,35.66656612825599
2.365,35.69734428718601
2.37,35.641578570145704
2.375,35.49389684903753
2.38,35.42384870898623
2.385,35.33135667301052
2.39,35.417869293056135
2.395,35.30036845675763
2.4,35.22071237837437
2.405,35.10554225350424
2.41,35.075546252959
2.415,35.087373419862004
2.42,35.08104381973335
2.425,35.064096790845724
2.43,35.12899054587946
2.435,34.94720732826704
2.44,35.01132033983634
2.445,34.98634622887446
2.45,34.86570732605671
2.455,34.78773449780519
2.46,34.76049324116029
2.465,34.68003483852858
2.47,34.610688682705245
2.475,34.50841410430964
2.48,34.35659405814935
2.485,34.32681809469383
2.49,34.39039673106889
2.495,34.27303284571193
2.5,34.2257613722891
2.505,34.133570771912574
2.51,34.15894456785054
2.515,33.98324449337495
2.52,33.80846073569835
2.525,33.686369176438006
2.53,33.63795511798051
2.535,33.59900586348667
2.54,33.50102510338156
2.545,33.44202173142606
2.55,33.39859359478581
2.555,33.51161805460269
2.56,33.412517527301524
2.565,33.41715482910374
2.57,33.41401210194993
2.575,33.32626056573123
2.58,33.18649415319399
2.585,33.16053324963514
2.59,33.12152440757027
2.595,33.01974348347833
2.6,32.92764114376611
2.605,32.876288659793815
2.61,32.7595952317273
2.615,32.73035382030016
2.62,32.63751146439225
2.625,32.587068912830865
2.63,32.48539924192998
2.635,32.38636325445713
2.64,32.373046881085216
2.645,32.14987399501868
2.65,32.137167048167115
2.655,32.004621156063095
2.66,31.86641472395494
2.665,31.86237525238318
2.67,31.813925249766463
2.675,31.779805041467533
2.68,31.780277283153858
2.685,31.760200764356817
2.69,31.81691562496007
2.695,31.642720211720157
2.7,31.6290389514157
2.705,31.490475452776774
2.71,31.458163020313318
2.715,31.436270620454202
2.72,31.428412888429328
2.725,31.395408179253934
2.73,31.40564968581692
2.735,31.477273549904687
2.74,31.37844730029901
2.745,31.366567772367034
2.75,31.370286387253508
2.755,31.401359689017756
2.76,31.352415149056547
2.765,31.369489067929965
2.77,31.284764908104307
2.775,31.27507714309956
2.78,31.161153622736762
2.785,30.936948062365058
2.79,30.89075461710899
2.795,30.85231268571588
2.8,30.915647972473806
2.805,30.95184390135083
2.81,30.952076116241315
2.815,30.94510939661167
2.82,30.894473079698063
2.825,30.816264534693467
2.83,30.86364206555254
2.835,30.873833189380154
2.84,30.86073862097829
2.845,30.881893424117663
2.85,30.754749979661653
2.855,30.730240316944865
2.86,30.678276758140903
2.865,30.74275306883142
2.87,30.669590912732552
2.875,30.70862233208084
2.88,30.75044486099388
2.885,30.779532609702272
2.89,30.89792849084294
2.895,30.789985311625017
2.9,30.71054652060192
2.905,30.65421866241899
2.91,30.62565358660221
2.915,30.563329692780798
2.92,30.611741447232575
2.925,30.684041079112905
2.93,30.666071603373073
2.935,30.620264106321976
2.94,30.518367756061842
2.945,30.540486762747186
2.95,30.516820263401314
2.955,30.44444881194009
2.96,30.409229277716697
2.965,30.373123653425786
2.97,30.363270158332814
2.975,30.35864021650131
2.98,30.306969434568874
2.985,30.20043889541722
2.99,30.063440292419624
2.995,30.014980527108456
3.0,29.886760543035727
3.005,29.85139771113066
3.01,29.865156867433225
3.015,29.932745858479926
3.02,29.89194400953705
3.025,30.01880508224238
3.03,29.899179991337633
3.035,29.763584000767487
3.04,29.736935722351866
3.045,29.71054652060192
3.05,29.573434372614685
3.055,29.637910489762806
3.06,29.627844548397675
3.065,29.52657107984148
3.07,29.4223036239936
3.075,29.386997681790334
3.08,29.29025431763498
3.085,29.33003276453558
3.09,29.316783362258032
3.095,29.340055277633528
3.1,29.35709870356793
3.105,29.42088314265308
3.11,29.461654707769053
3.115,29.437272219670277
3.12,29.437272219670277
3.125,29.27930267938655
3.13,29.320030773524643
3.135,29.294993256046343
3.14,29.217088383984077
3.145,29.222541198058916
3.15,29.112787260345357
3.155,29.06145307521956
3.16,29.02217895496835
3.165,29.008486050438286
3.17,28.920746655694014
3.175,28.973602383438394
3.18,28.8093553734185
3.185,28.665232608480153
3.19,28.591597712363633
3.195,28.54836046881753
3.2,28.45498751351624
3.205,28.419038943571877
3.21,28.4041217879671
3.215,28.428343320251845
3.22,28.44929282138871
3.225,28.333933218779723
3.23,28.29100240151532
3.235,28.2394516717278
3.24,28.210312803436985
3.245,28.183514384922155
3.25,28.145268484402237
3.255,28.064249035327578
3.26,28.001686181496243
3.265,28.02459653320087
3.27,27.954828345304453
3.275,27.768247499577065
3.28,27.768182978199334
3.285,27.636129726916792
3.29,27.467366572540424
3.295,27.38710036391566
3.3,27.39841844532183
3.305,27.38050011081431
3.31,27.330727727806956
3.315,27.297785667697614
3.32,27.34005434174907
3.325,27.24005137605115
3.33,27.172905508540804
3.335,27.154059252864524
3.34,27.092445223286763
3.345,26.936609070086718
3.35,26.77821891495087
3.355,26.942663028398513
3.36,26.9779096530931
3.365,27.008153360411868
3.37,26.880660888269006
3.375,26.863984501325387
3.38,26.848814571533257
3.385,26.778849522556598
3.39,26.759183622176778
3.395,26.706371194014448
3.4,26.517366050087773
3.405,26.395193447855682
3.41,26.388709933557408
3.415,26.373200309023584
3.42,26.242871979717478
3.425,26.20408519864255
3.43,26.05378022604563
3.435,25.952647921956007
3.44,25.963836052568134
3.445,25.962586207272704
3.45,25.86886186379838
3.455,25.858963853870673
3.46,25.748806691006738
3.465,25.663258292949507
3.47,25.611231857375998
3.475,25.535851427665545
3.48,25.500236101327005
3.485,25.463199153347766
3.49,25.409461137213192
3.495,25.29211666423522
3.5,25.29832171387313
3.505,25.219769880531416
3.51,25.184648776310947
3.515,25.117941102570875
3.52,25.164271872526726
3.525,25.21950435071827
3.53,25.23619906155539
3.535,25.09170157969148
3.54,25.023825470261656
3.545,25.0307533680698
3.55,24.910381711650572
3.555,24.854935965409204
3.56,24.833354362705037
