Time,Susceptible,Exposed,Infected,Recovered
2.235,55,26,14,5
2.24,54,27,14,5
2.245,52,29,14,5
2.25,52,29,14,5
2.255,52,29,14,5
2.26,52,29,14,5
2.265,51,30,14,5
2.27,51,30,14,5
2.275,51,30,14,5
2.28,51,30,14,5
2.285,51,30,14,5
2.29,51,30,14,5
2.295,50,31,14,5
2.3,50,31,14,5
2.305,50,31,14,5
2.31,50,31,14,5
2.315,49,32,14,5
2.32,49,32,14,5
2.325,49,32,14,5
2.33,49,32,14,5
2.335,49,32,14,5
2.34,49,32,14,5
2.345,48,33,14,5
2.35,48,33,14,5
2.355,48,33,14,5
2.36,48,33,14,5
2.365,48,33,14,5
2.37,48,33,14,5
2.375,47,34,14,5
2.38,47,34,14,5
2.385,47,34,14,5
2.39,47,34,14,5
2.395,47,34,14,5
2.4,47,34,14,5
2.405,47,34,14,5
2.41,47,34,14,5
2.415,47,34,14,5
2.42,47,33,15,5
2.425,45,35,15,5
2.43,44,36,15,5
2.435,44,36,15,5
2.44,44,36,15,5
2.445,44,36,15,5
2.45,42,38,15,5
2.455,42,37,16,5
2.46,41,37,17,5
2.465,41,37,17,5
2.47,41,37,17,5
2.475,40,38,17,5
2.48,40,38,17,5
2.485,40,38,17,5
2.49,40,38,17,5
2.495,40,38,17,5
2.5,40,38,16,6
2.505,40,37,17,6
2.51,39,38,17,6
2.515,39,37,18,6
2.52,39,37,18,6
2.525,38,38,18,6
2.53,36,40,18,6
2.535,36,40,17,7
2.54,36,40,17,7
2.545,36,40,17,7
2.55,36,40,17,7
2.555,36,40,16,8
2.56,35,40,17,8
2.565,35,39,18,8
2.57,35,39,18,8
2.575,35,39,18,8
2.58,35,39,18,8
2.585,35,38,19,8
2.59,35,38,19,8
2.595,35,38,19,8
2.6,34,39,19,8
2.605,34,39,19,8
2.61,34,39,19,8
2.615,34,38,20,8
2.62,34,38,20,8
2.625,34,38,20,8
2.63,34,38,20,8
2.635,34,38,20,8
2.64,34,37,21,8
2.645,34,36,22,8
2.65,34,36,22,8
2.655,33,37,22,8
2.66,33,37,22,8
2.665,33,37,21,9
2.67,33,37,21,9
2.675,33,37,21,9
2.68,33,37,21,9
2.685,33,37,21,9
2.69,33,37,21,9
2.695,33,37,21,9
2.7,33,37,21,9
2.705,32,38,21,9
2.71,32,38,21,9
2.715,32,38,21,9
2.72,32,38,21,9
2.725,32,38,21,9
2.73,32,38,21,9
2.735,32,38,21,9
2.74,32,37,22,9
2.745,32,37,22,9
