time,State3Mean,state3STD
0.0453,0.02,0.14
0.0454,0.02,0.14
0.0455,0.02,0.14
0.0456,0.02,0.14
0.0457,0.02,0.14
0.0458,0.03,0.170587
0.0459,0.03,0.170587
0.046,0.03,0.170587
0.0461,0.03,0.170587
0.0462,0.03,0.170587
0.0463,0.03,0.170587
0.0464,0.03,0.170587
0.0465,0.03,0.170587
0.0466,0.03,0.170587
0.0467,0.03,0.170587
0.0468,0.03,0.170587
0.0469,0.03,0.170587
0.047,0.03,0.170587
0.0471,0.03,0.170587
0.0472,0.03,0.170587
0.0473,0.03,0.170587
0.0474,0.03,0.170587
0.0475,0.03,0.170587
0.0476,0.03,0.170587
0.0477,0.03,0.170587
0.0478,0.03,0.170587
0.0479,0.03,0.170587
0.048,0.03,0.170587
0.0481,0.03,0.170587
0.0482,0.03,0.170587
0.0483,0.03,0.170587
0.0484,0.03,0.170587
0.0485,0.03,0.170587
0.0486,0.03,0.170587
0.0487,0.03,0.170587
0.0488,0.03,0.170587
0.0489,0.03,0.170587
0.049,0.03,0.170587
0.0491,0.03,0.170587
0.0492,0.03,0.170587
0.0493,0.03,0.170587
0.0494,0.03,0.170587
0.0495,0.03,0.170587
0.0496,0.03,0.170587
0.0497,0.03,0.170587
0.0498,0.03,0.170587
0.0499,0.03,0.170587
0.05,0.03,0.170587
0.0501,0.03,0.170587
0.0502,0.03,0.170587
0.0503,0.03,0.170587
0.0504,0.03,0.170587
0.0505,0.03,0.170587
0.0506,0.03,0.170587
0.0507,0.03,0.170587
0.0508,0.03,0.170587
0.0509,0.03,0.170587
0.051,0.03,0.170587
0.0511,0.03,0.170587
0.0512,0.03,0.170587
0.0513,0.03,0.170587
0.0514,0.03,0.170587
0.0515,0.03,0.170587
0.0516,0.03,0.170587
0.0517,0.03,0.170587
0.0518,0.03,0.170587
0.0519,0.03,0.170587
0.052,0.03,0.170587
0.0521,0.03,0.170587
0.0522,0.03,0.170587
0.0523,0.03,0.170587
0.0524,0.03,0.170587
0.0525,0.03,0.170587
0.0526,0.03,0.170587
0.0527,0.03,0.170587
0.0528,0.03,0.170587
0.0529,0.03,0.170587
0.053,0.03,0.170587
0.0531,0.03,0.170587
0.0532,0.03,0.170587
0.0533,0.03,0.170587
0.0534,0.03,0.170587
0.0535,0.03,0.170587
0.0536,0.03,0.170587
0.0537,0.03,0.170587
0.0538,0.03,0.170587
0.0539,0.03,0.170587
0.054,0.03,0.170587
0.0541,0.03,0.170587
0.0542,0.03,0.170587
0.0543,0.03,0.170587
0.0544,0.03,0.170587
0.0545,0.03,0.170587
0.0546,0.03,0.170587
0.0547,0.03,0.170587
0.0548,0.03,0.170587
0.0549,0.03,0.170587
0.055,0.03,0.170587
0.0551,0.03,0.170587
0.0552,0.03,0.170587
0.0553,0.03,0.170587
0.0554,0.03,0.170587
0.0555,0.03,0.170587
0.0556,0.03,0.170587
0.0557,0.03,0.170587
0.0558,0.03,0.170587
0.0559,0.03,0.170587
0.056,0.03,0.170587
0.0561,0.03,0.170587
0.0562,0.03,0.170587
0.0563,0.03,0.170587
0.0564,0.03,0.170587
0.0565,0.03,0.170587
0.0566,0.03,0.170587
0.0567,0.03,0.170587
0.0568,0.03,0.170587
0.0569,0.03,0.170587
0.057,0.03,0.170587
0.0571,0.03,0.170587
0.0572,0.03,0.170587
0.0573,0.03,0.170587
0.0574,0.03,0.170587
0.0575,0.03,0.170587
0.0576,0.03,0.170587
0.0577,0.03,0.170587
0.0578,0.03,0.170587
0.0579,0.03,0.170587
0.058,0.03,0.170587
0.0581,0.03,0.170587
0.0582,0.03,0.170587
0.0583,0.03,0.170587
0.0584,0.03,0.170587
0.0585,0.03,0.170587
0.0586,0.03,0.170587
0.0587,0.03,0.170587
0.0588,0.03,0.170587
0.0589,0.03,0.170587
0.059,0.03,0.170587
0.0591,0.03,0.170587
0.0592,0.03,0.170587
0.0593,0.03,0.170587
0.0594,0.03,0.170587
0.0595,0.03,0.170587
0.0596,0.03,0.170587
0.0597,0.03,0.170587
0.0598,0.03,0.170587
0.0599,0.03,0.170587
0.06,0.03,0.170587
0.0601,0.03,0.170587
0.0602,0.03,0.170587
0.0603,0.03,0.170587
0.0604,0.03,0.170587
0.0605,0.03,0.170587
0.0606,0.03,0.170587
0.0607,0.03,0.170587
0.0608,0.03,0.170587
0.0609,0.03,0.170587
0.061,0.03,0.170587
0.0611,0.04,0.195959
0.0612,0.04,0.195959
0.0613,0.04,0.195959
0.0614,0.04,0.195959
0.0615,0.04,0.195959
0.0616,0.04,0.195959
0.0617,0.04,0.195959
0.0618,0.04,0.195959
0.0619,0.04,0.195959
0.062,0.04,0.195959
0.0621,0.04,0.195959
0.0622,0.04,0.195959
0.0623,0.04,0.195959
0.0624,0.04,0.195959
0.0625,0.04,0.195959
0.0626,0.04,0.195959
0.0627,0.04,0.195959
0.0628,0.04,0.195959
0.0629,0.04,0.195959
0.063,0.04,0.195959
0.0631,0.04,0.195959
0.0632,0.04,0.195959
0.0633,0.04,0.195959
0.0634,0.04,0.195959
0.0635,0.04,0.195959
0.0636,0.04,0.195959
0.0637,0.04,0.195959
0.0638,0.04,0.195959
0.0639,0.04,0.195959
0.064,0.04,0.195959
0.0641,0.04,0.195959
0.0642,0.04,0.195959
0.0643,0.04,0.195959
0.0644,0.04,0.195959
0.0645,0.04,0.195959
0.0646,0.04,0.195959
0.0647,0.04,0.195959
0.0648,0.04,0.195959
0.0649,0.04,0.195959
0.065,0.04,0.195959
0.0651,0.04,0.195959
0.0652,0.04,0.195959
0.0653,0.04,0.195959
0.0654,0.04,0.195959
0.0655,0.04,0.195959
0.0656,0.04,0.195959
0.0657,0.04,0.195959
0.0658,0.04,0.195959
0.0659,0.04,0.195959
0.066,0.04,0.195959
0.0661,0.04,0.195959
0.0662,0.04,0.195959
0.0663,0.04,0.195959
0.0664,0.04,0.195959
0.0665,0.04,0.195959
0.0666,0.04,0.195959
0.0667,0.04,0.195959
0.0668,0.04,0.195959
0.0669,0.04,0.195959
0.067,0.04,0.195959
0.0671,0.04,0.195959
0.0672,0.04,0.195959
0.0673,0.04,0.195959
0.0674,0.04,0.195959
0.0675,0.04,0.195959
0.0676,0.04,0.195959
0.0677,0.04,0.195959
0.0678,0.04,0.195959
0.0679,0.04,0.195959
0.068,0.04,0.195959
0.0681,0.04,0.195959
0.0682,0.04,0.195959
0.0683,0.04,0.195959
0.0684,0.04,0.195959
0.0685,0.04,0.195959
0.0686,0.04,0.195959
0.0687,0.04,0.195959
0.0688,0.04,0.195959
0.0689,0.04,0.195959
0.069,0.04,0.195959
0.0691,0.04,0.195959
0.0692,0.04,0.195959
0.0693,0.04,0.195959
0.0694,0.04,0.195959
0.0695,0.04,0.195959
0.0696,0.04,0.195959
0.0697,0.04,0.195959
0.0698,0.04,0.195959
0.0699,0.04,0.195959
0.07,0.04,0.195959
0.0701,0.04,0.195959
0.0702,0.04,0.195959
0.0703,0.04,0.195959
0.0704,0.04,0.195959
0.0705,0.04,0.195959
0.0706,0.04,0.195959
0.0707,0.04,0.195959
0.0708,0.04,0.195959
0.0709,0.04,0.195959
0.071,0.04,0.195959
0.0711,0.04,0.195959
0.0712,0.04,0.195959
0.0713,0.04,0.195959
0.0714,0.04,0.195959
0.0715,0.04,0.195959
0.0716,0.04,0.195959
0.0717,0.04,0.195959
0.0718,0.04,0.195959
0.0719,0.04,0.195959
0.072,0.04,0.195959
0.0721,0.04,0.195959
