Time, position_x, position_y
43.3, 32, 20
43.4, 32, 20
43.5, 32, 20
43.6, 32, 20
43.7, 32, 20
43.8, 32, 20
43.9, 32, 20
44, 32, 20
44.1, 32, 20
44.2, 32, 20
44.3, 32, 20
44.4, 32, 20
44.5, 32, 20
44.6, 32, 20
44.7, 32, 20
44.8, 32, 20
44.9, 32, 20
45, 32, 20
45.1, 32, 20
45.2, 32, 20
45.3, 32, 20
45.4, 32, 20
45.5, 32, 20
45.6, 32, 20
45.7, 32, 20
45.8, 32, 20
45.9, 32, 20
46, 32, 20
46.1, 32, 20
46.2, 32, 20
46.3, 32, 19
46.4, 32, 19
46.5, 32, 19
46.6, 32, 19
46.7, 32, 19
46.8, 32, 19
46.9, 32, 19
47, 32, 19
47.1, 32, 19
47.2, 32, 19
47.3, 32, 19
47.4, 32, 19
47.5, 32, 19
47.6, 32, 19
47.7, 32, 19
47.8, 32, 19
47.9, 31, 19
48, 31, 19
48.1, 31, 19
48.2, 31, 19
48.3, 32, 19
48.4, 32, 19
48.5, 32, 19
48.6, 32, 19
48.7, 32, 19
48.8, 32, 19
48.9, 32, 19
49, 32, 19
49.1, 32, 19
49.2, 32, 19
49.3, 32, 19
49.4, 32, 19
49.5, 32, 19
49.6, 32, 19
49.7, 32, 19
49.8, 32, 19
49.9, 32, 19
50, 32, 19
50.1, 32, 19
50.2, 32, 19
50.3, 32, 20
50.4, 32, 20
50.5, 32, 20
50.6, 32, 20
50.7, 32, 20
50.8, 32, 20
50.9, 32, 20
51, 32, 20
51.1, 32, 20
51.2, 32, 20
51.3, 32, 20
51.4, 32, 20
51.5, 32, 20
51.6, 32, 20
51.7, 32, 20
51.8, 32, 20
51.9, 32, 20
52, 32, 20
52.1, 32, 20
52.2, 32, 20
52.3, 32, 20
52.4, 32, 20
52.5, 32, 19
52.6, 32, 19
52.7, 32, 20
52.8, 32, 20
52.9, 32, 20
53, 32, 20
53.1, 32, 20
53.2, 32, 20
53.3, 32, 20
53.4, 32, 20
53.5, 32, 20
53.6, 32, 20
53.7, 32, 20
53.8, 32, 20
53.9, 32, 20
54, 32, 20
54.1, 32, 20
54.2, 32, 20
54.3, 32, 20
54.4, 32, 20
54.5, 32, 20
54.6, 32, 20
54.7, 32, 20
54.8, 32, 20
54.9, 32, 20
55, 32, 20
55.1, 32, 20
55.2, 32, 20
55.3, 31, 20
55.4, 31, 20
55.5, 31, 20
55.6, 31, 20
55.7, 31, 20
55.8, 31, 20
55.9, 31, 20
56, 31, 20
56.1, 31, 20
56.2, 31, 20
56.3, 31, 21
56.4, 31, 21
56.5, 31, 21
56.6, 31, 21
56.7, 31, 21
56.8, 31, 21
56.9, 31, 21
57, 31, 21
57.1, 31, 21
57.2, 31, 21
57.3, 31, 21
57.4, 31, 21
57.5, 31, 21
57.6, 31, 21
57.7, 31, 21
57.8, 31, 21
57.9, 31, 21
58, 31, 21
58.1, 31, 21
58.2, 31, 21
58.3, 31, 21
58.4, 31, 21
58.5, 31, 21
58.6, 31, 21
58.7, 31, 21
58.8, 31, 21
58.9, 31, 21
59, 31, 21
59.1, 31, 21
59.2, 31, 21
59.3, 31, 21
59.4, 31, 21
59.5, 31, 21
59.6, 31, 21
59.7, 30, 21
59.8, 30, 21
59.9, 30, 21
60, 30, 21
60.1, 30, 21
60.2, 30, 21
60.3, 30, 21
60.4, 30, 21
60.5, 30, 21
60.6, 30, 21
60.7, 29, 21
60.8, 29, 21
60.9, 29, 21
61, 29, 21
61.1, 29, 21
61.2, 29, 21
61.3, 29, 21
61.4, 29, 21
61.5, 29, 21
61.6, 29, 21
61.7, 29, 21
61.8, 29, 21
61.9, 29, 21
62, 29, 21
62.1, 28, 21
62.2, 28, 21
62.3, 28, 21
62.4, 28, 21
62.5, 27, 21
62.6, 27, 21
62.7, 27, 21
62.8, 27, 21
62.9, 27, 21
63, 27, 21
63.1, 27, 21
63.2, 27, 21
63.3, 27, 21
63.4, 27, 21
63.5, 27, 22
63.6, 27, 22
63.7, 27, 22
63.8, 27, 22
63.9, 27, 22
64, 27, 22
64.1, 27, 22
64.2, 27, 22
64.3, 27, 22
64.4, 27, 22
64.5, 28, 22
64.6, 28, 22
64.7, 28, 22
64.8, 28, 22
64.9, 28, 21
65, 28, 21
65.1, 28, 21
65.2, 28, 21
65.3, 28, 21
65.4, 28, 21
65.5, 28, 21
65.6, 28, 21
65.7, 28, 21
65.8, 28, 21
65.9, 28, 21
66, 28, 21
66.1, 28, 21
66.2, 28, 21
66.3, 28, 21
66.4, 28, 21
66.5, 28, 21
66.6, 28, 21
66.7, 29, 21
66.8, 29, 21
66.9, 29, 21
67, 29, 21
67.1, 29, 21
67.2, 29, 21
67.3, 29, 21
67.4, 29, 21
67.5, 29, 21
67.6, 29, 21
67.7, 29, 21
67.8, 29, 21
67.9, 29, 21
68, 29, 21
68.1, 29, 21
68.2, 29, 21
68.3, 29, 21
68.4, 29, 21
68.5, 29, 21
68.6, 29, 21
68.7, 29, 21
68.8, 29, 21
68.9, 29, 21
69, 29, 21
69.1, 29, 21
69.2, 29, 21
69.3, 29, 21
69.4, 29, 21
69.5, 29, 21
69.6, 29, 21
69.7, 29, 21
69.8, 29, 21
69.9, 29, 21
70, 29, 21
70.1, 29, 21
70.2, 29, 21
70.3, 29, 21
70.4, 29, 21
70.5, 29, 21
70.6, 29, 21
70.7, 29, 21
70.8, 29, 21
70.9, 29, 21
71, 29, 21
71.1, 29, 21
71.2, 29, 21
71.3, 29, 21
71.4, 29, 21
71.5, 29, 21
71.6, 29, 21
71.7, 29, 21
71.8, 29, 21
71.9, 29, 21
72, 29, 21
72.1, 29, 21
72.2, 29, 21
72.3, 29, 21
72.4, 29, 21
72.5, 29, 21
72.6, 29, 21
72.7, 29, 21
72.8, 29, 21
72.9, 29, 21
73, 29, 21
73.1, 29, 21
73.2, 29, 21
73.3, 29, 21
73.4, 29, 21
73.5, 29, 21
73.6, 29, 21
73.7, 29, 21
73.8, 29, 21
73.9, 29, 21
74, 29, 21
74.1, 29, 21
74.2, 29, 21
74.3, 29, 20
74.4, 29, 20
74.5, 29, 20
74.6, 29, 20
74.7, 29, 20
74.8, 29, 20
74.9, 29, 20
75, 29, 20
75.1, 29, 20
75.2, 29, 20
75.3, 29, 20
75.4, 29, 20
75.5, 29, 20
75.6, 29, 20
75.7, 29, 20
75.8, 29, 20
75.9, 29, 20
76, 29, 20
76.1, 29, 20
76.2, 29, 20
76.3, 29, 20
76.4, 29, 20
76.5, 29, 20
76.6, 29, 20
76.7, 28, 20
76.8, 28, 20
76.9, 28, 20
77, 28, 20
77.1, 28, 20
77.2, 28, 20
77.3, 28, 20
77.4, 28, 20
77.5, 28, 20
77.6, 28, 20
77.7, 28, 20
77.8, 28, 20
77.9, 28, 20
78, 28, 20
78.1, 27, 20
78.2, 27, 20
78.3, 27, 20
78.4, 27, 20
78.5, 27, 20
78.6, 27, 20
78.7, 27, 21
78.8, 27, 21
78.9, 27, 21
79, 27, 21
79.1, 27, 21
79.2, 27, 21
79.3, 27, 21
79.4, 27, 21
79.5, 27, 21
79.6, 27, 21
79.7, 27, 21
79.8, 27, 21
79.9, 27, 21
80, 27, 21
80.1, 27, 21
80.2, 27, 21
80.3, 27, 21
80.4, 27, 21
80.5, 27, 21
80.6, 27, 21
80.7, 27, 21
80.8, 27, 21
80.9, 27, 21
81, 27, 21
81.1, 27, 21
81.2, 27, 21
81.3, 27, 21
81.4, 27, 21
81.5, 27, 21
81.6, 27, 21
81.7, 27, 21
81.8, 27, 21
81.9, 27, 21
82, 27, 21
82.1, 27, 21
82.2, 27, 21
82.3, 27, 21
82.4, 27, 21
82.5, 27, 21
82.6, 27, 21
82.7, 27, 21
82.8, 27, 21
82.9, 27, 21
83, 27, 21
83.1, 27, 21
83.2, 27, 21
83.3, 27, 21
83.4, 27, 21
83.5, 27, 21
83.6, 27, 21
83.7, 27, 21
83.8, 27, 21
83.9, 27, 21
84, 27, 21
84.1, 27, 21
84.2, 27, 21
84.3, 27, 21
84.4, 27, 21
84.5, 27, 21
84.6, 27, 21
84.7, 27, 21
84.8, 27, 21
84.9, 27, 21
85, 27, 21
85.1, 27, 21
85.2, 27, 21
85.3, 27, 21
85.4, 27, 21
85.5, 27, 21
85.6, 27, 21
85.7, 27, 21
85.8, 27, 21
85.9, 27, 21
86, 27, 21
86.1, 27, 21
86.2, 27, 21
86.3, 27, 21
86.4, 27, 21
86.5, 27, 21
86.6, 27, 21
86.7, 27, 21
86.8, 27, 21
86.9, 27, 21
87, 27, 21
87.1, 28, 21
87.2, 28, 21
87.3, 28, 21
87.4, 28, 21
87.5, 28, 21
87.6, 28, 21
87.7, 28, 21
87.8, 28, 21
87.9, 28, 21
88, 28, 21
88.1, 28, 21
88.2, 28, 21
88.3, 28, 21
88.4, 28, 21
88.5, 28, 21
88.6, 28, 21
88.7, 28, 21
88.8, 28, 21
88.9, 28, 21
89, 28, 21
89.1, 28, 21
89.2, 28, 21
89.3, 28, 21
89.4, 28, 21
89.5, 29, 21
89.6, 29, 21
89.7, 29, 21
89.8, 29, 21
89.9, 29, 21
90, 29, 21
90.1, 29, 21
90.2, 29, 21
90.3, 29, 21
90.4, 29, 21
90.5, 29, 21
90.6, 29, 21
90.7, 29, 21
90.8, 29, 21
90.9, 29, 21
91, 29, 21
91.1, 29, 21
91.2, 29, 21
91.3, 29, 21
91.4, 29, 21
91.5, 29, 21
91.6, 29, 21
91.7, 29, 21
91.8, 29, 21
91.9, 29, 21
92, 29, 21
92.1, 29, 21
92.2, 29, 21
92.3, 29, 21
92.4, 29, 21
92.5, 29, 21
92.6, 29, 21
92.7, 29, 21
92.8, 29, 21
92.9, 29, 21
93, 29, 21
93.1, 29, 21
93.2, 29, 21
93.3, 29, 21
93.4, 29, 21
93.5, 29, 21
93.6, 29, 21
93.7, 29, 21
93.8, 29, 21
93.9, 29, 21
94, 29, 21
94.1, 29, 21
94.2, 29, 21
94.3, 29, 21
94.4, 29, 21
94.5, 29, 21
94.6, 29, 21
94.7, 29, 21
94.8, 29, 21
94.9, 29, 21
95, 29, 21
95.1, 29, 21
95.2, 29, 21
95.3, 29, 21
95.4, 29, 21
95.5, 29, 21
95.6, 29, 21
95.7, 29, 21
95.8, 29, 21
95.9, 29, 21
96, 29, 21
96.1, 29, 21
96.2, 29, 21
96.3, 29, 21
96.4, 29, 21
96.5, 30, 21
96.6, 30, 21
96.7, 30, 21
96.8, 30, 21
96.9, 30, 21
97, 30, 21
97.1, 30, 21
97.2, 30, 21
97.3, 30, 21
97.4, 30, 21
97.5, 30, 21
97.6, 30, 21
97.7, 30, 21
97.8, 30, 21
97.9, 30, 21
98, 30, 21
98.1, 30, 21
98.2, 30, 21
98.3, 30, 21
98.4, 30, 21
98.5, 30, 22
98.6, 30, 22
98.7, 30, 22
98.8, 30, 22
98.9, 30, 22
99, 30, 22
99.1, 30, 22
99.2, 30, 22
99.3, 30, 22
99.4, 30, 22
99.5, 30, 21
99.6, 30, 21
99.7, 30, 21
99.8, 30, 21
99.9, 31, 21
100, 31, 21
100.1, 31, 21
100.2, 31, 21
100.3, 31, 21
100.4, 31, 21
100.5, 31, 21
100.6, 31, 21
100.7, 31, 21
100.8, 31, 21
100.9, 32, 21
101, 32, 21
101.1, 32, 21
101.2, 32, 21
101.3, 32, 21
101.4, 32, 21
101.5, 32, 21
101.6, 32, 21
101.7, 32, 21
101.8, 32, 21
101.9, 32, 21
102, 32, 21
102.1, 32, 21
102.2, 32, 21
102.3, 32, 21
102.4, 32, 21
102.5, 32, 21
102.6, 32, 21
102.7, 32, 21
102.8, 32, 21
102.9, 32, 21
103, 32, 21
103.1, 32, 21
103.2, 32, 21
103.3, 32, 21
103.4, 32, 21
103.5, 32, 21
103.6, 32, 21
103.7, 32, 21
103.8, 32, 21
103.9, 32, 21
104, 32, 21
104.1, 32, 21
104.2, 32, 21
104.3, 32, 21
104.4, 32, 21
104.5, 32, 21
104.6, 32, 21
104.7, 32, 21
104.8, 32, 21
104.9, 32, 21
105, 32, 21
105.1, 32, 22
105.2, 32, 22
105.3, 32, 22
105.4, 32, 22
105.5, 31, 22
105.6, 31, 22
105.7, 32, 22
105.8, 32, 22
105.9, 32, 22
106, 32, 22
106.1, 32, 22
106.2, 32, 22
106.3, 32, 22
106.4, 32, 22
106.5, 32, 22
106.6, 32, 22
106.7, 32, 22
106.8, 32, 22
106.9, 32, 22
107, 32, 22
107.1, 32, 22
107.2, 32, 22
107.3, 32, 22
107.4, 32, 22
107.5, 32, 22
107.6, 32, 22
107.7, 32, 22
107.8, 32, 22
107.9, 32, 22
108, 32, 22
108.1, 32, 22
108.2, 32, 22
108.3, 32, 22
108.4, 32, 22
108.5, 32, 22
108.6, 32, 22
108.7, 32, 22
108.8, 32, 22
108.9, 32, 22
109, 32, 22
109.1, 32, 22
109.2, 32, 22
109.3, 32, 22
109.4, 32, 22
109.5, 32, 22
109.6, 32, 22
109.7, 32, 22
109.8, 32, 22
109.9, 32, 22
110, 32, 22
110.1, 32, 22
110.2, 32, 22
110.3, 32, 22
110.4, 32, 22
110.5, 32, 22
110.6, 32, 22
110.7, 33, 22
110.8, 33, 22
110.9, 33, 22
111, 33, 22
111.1, 33, 22
111.2, 33, 22
111.3, 33, 22
111.4, 33, 22
111.5, 33, 22
111.6, 33, 22
111.7, 33, 22
111.8, 33, 22
111.9, 33, 22
112, 33, 22
112.1, 34, 22
112.2, 34, 22
112.3, 34, 22
112.4, 34, 22
112.5, 34, 22
112.6, 34, 22
112.7, 34, 22
112.8, 34, 22
112.9, 34, 22
113, 34, 22
113.1, 34, 22
113.2, 34, 22
113.3, 34, 21
113.4, 34, 21
113.5, 34, 21
113.6, 34, 21
113.7, 34, 21
113.8, 34, 21
113.9, 34, 21
114, 34, 21
114.1, 34, 21
114.2, 34, 21
114.3, 34, 22
114.4, 34, 22
114.5, 34, 21
114.6, 34, 21
114.7, 34, 21
114.8, 34, 21
114.9, 34, 21
115, 34, 21
115.1, 34, 21
115.2, 34, 21
115.3, 34, 21
115.4, 34, 21
115.5, 34, 21
115.6, 34, 21
115.7, 34, 21
115.8, 34, 21
115.9, 34, 21
116, 34, 21
116.1, 34, 21
116.2, 34, 21
116.3, 34, 21
116.4, 34, 21
116.5, 34, 21
116.6, 34, 21
116.7, 34, 21
116.8, 34, 21
116.9, 34, 21
117, 34, 21
117.1, 34, 22
