time,infectious STD
1.36,2.4198347050986775
1.365,2.440880988495752
1.37,2.4331050121192876
1.375,2.4461398161184498
1.38,2.4505305547982874
1.385,2.41735392526622
1.39,2.409875515457178
1.395,2.417933001553186
1.4,2.4998199935195333
1.405,2.5039768369535698
1.41,2.4513465687250346
1.415,2.479838704432205
1.42,2.491967094485801
1.425,2.4839283403512273
1.43,2.5396062686959957
1.435,2.570038910211283
1.44,2.573926960890693
1.445,2.5968442386866406
1.45,2.632565288839007
1.455,2.6368731482572305
1.46,2.632014437650371
1.465,2.653507113237121
1.47,2.664788922222546
1.475,2.6596804319316254
1.48,2.676919871792954
1.485,2.7095387061269305
1.49,2.687303481187043
1.495,2.7169100095512917
1.5,2.7363296585024255
1.505,2.791343762419814
1.51,2.812045518835
1.515,2.7939040785252454
1.52,2.809608513654528
1.525,2.8178005607210737
1.53,2.8800000000000003
1.535,2.8914356295791896
1.54,2.8800000000000003
1.545,2.8706096913373655
1.55,2.9061314491949606
1.555,2.9198630104852525
1.56,2.957296062283924
1.565,2.9775157430314287
1.57,2.9829347964714197
1.575,3.044256887977754
1.58,3.039144616499847
1.585,3.0093853192969493
1.59,3.034649897434629
1.595,3.026549190084311
1.6,2.9949791318137766
1.605,3.0196688560171627
1.61,3.006060544965787
1.615,3.0108304502246543
1.62,3.024169307429729
1.625,3.1618190966593893
1.63,3.132347362602046
1.635,3.11126983722081
1.64,3.14680790643471
1.645,3.145218593357225
1.65,3.1808175049820115
1.655,3.1670806746908102
1.66,3.181493360043362
1.665,3.2070391329074863
1.67,3.213969508256107
1.675,3.2356761271796044
1.68,3.2906534305514463
1.685,3.3475961524652282
1.69,3.370741758129803
1.695,3.3141514751139547
1.7,3.331666249791536
1.705,3.340344293632021
1.71,3.385911989405513
1.715,3.397925837919362
1.72,3.4207601494404725
1.725,3.363614127690629
1.73,3.428862785239445
1.735,3.425259114286101
1.74,3.409677404095584
1.745,3.4207601494404725
1.75,3.409677404095584
1.755,3.3754851503154315
1.76,3.368976105584604
1.765,3.3834154341434335
1.77,3.4213886069840123
1.775,3.4391277964041986
1.78,3.499371372118141
1.785,3.564758056306206
1.79,3.630206605690646
1.795,3.691869445145643
1.8,3.749186578446051
1.805,3.7197311730822706
1.81,3.7220424500534652
1.815,3.7700265251056284
1.82,3.7643060449437407
1.825,3.7769829229161207
1.83,3.751413067098852
1.835,3.8001447340857952
1.84,3.855632243873888
1.845,3.9105498334633206
1.85,3.9458839313897722
1.855,3.95144277448124
1.86,3.9812560831978647
1.865,4.014971979976945
1.87,4.015607052489075
1.875,4.073033267725664
1.88,4.095106836213188
1.885,4.121783594513423
1.89,4.180908992073375
1.895,4.174158597849391
1.9,4.188078318274385
1.905,4.186585721085858
1.91,4.2120185184778105
1.915,4.2159103406026075
1.92,4.199095140622559
1.925,4.256042762943061
